Public Research/Doctoral / FY2005 																																						
Institution	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Current	  Alumni Participation 	  Undergraduate	  Alumni Donors	  Percentage	  Alumni Giving	  # Alumni of	  # Alumni Donors 	  Alumni: Total	  Athletics/Curr	  Athletics/Curr	  Athletics/Cap	  Athletics/Cap	  Athletics/Total:	  Athletics/Total	  Corporations:	  Expenditures	  Foundations:	  Foundations:	  Foundations:	  Corporations:	  Corporations:	  Total Curr	  Total Current	  Grand Total	  Grand Total	  Parents (incl.	  Parents (incl.	  Parents (incl.
	Ops/Academic	Ops/Fac-Staff	Ops/Research 	Ops/Pub Serv	Ops/Libraries 	Ops/Physical	Ops/Student	Ops/Athletics 	Ops/Other Purposes 	Operations		Alumni Participation 	for Current	of Alumni Solicited 	as a Percentage	Record 		"Giving ($,"	Ops: Donors	Ops: Total	Purp: Donors	Purp (PV):	Donors (#) 	(PV): Total	Total 	Per Student 	Total 	Curr Ops/Athletics 	Current Operations	Curr Ops/Athletics 	Current Operations	Ops/Athletics 	Operations 	(2004 and after) 	(2003 and earlier) 	Grandp) - Curr	Grandp) - Curr	Grandp) - Curr
	Divisions 	Comp 		& Ext 		Plant O&M 	Aid 			Total 			Ops. as % of		of Total Giving 			from Details) 	(#) 	Amount ($) 	(#) 	Total Amount		Amount ($) 					Total 		Total 					Ops Solicited	Ops Donors	Ops ($ Details) 
													# of Record 									($) 														(#) 	(#) 	
"Arizona State University Foundation (Tempe, AZ) "	"$716,624 "	"$22,000 "	"$44,035 "	"$10,050 "	"$2,842 "	$0 	"$454,152 "	"$3,293,848 "	"$765,298 "	"$5,324,101 "	3.80%	4.50%	3.70%	59.60%	7.00%	"361,184"	"13,648"	"$6,942,717 "	"7,480"	"$7,262,348 "	20	"$230,233 "	"7,500"	"$7,492,581 "	"$48,370,955 "	"$17,414 "	"$14,998,242 "	"$213,760 "	"$14,345,621 "	"$1,643,543 "	"$23,695,537 "	"$6,973,417 "	"$63,331,500 "	"$99,395,190 "	"$99,701,657 "	--	--	--
"Auburn University (Auburn, AL) "	"$2,711,606 "	"$22,250 "	"$9,951 "	"$131,783 "	"$209,752 "	$585 	"$3,042,080 "	"$4,330,075 "	"$498,913 "	"$11,240,580 "	10.90%	11.20%	10.70%	99.50%	37.00%	"191,420"	"20,833"	"$20,411,111 "	"8,302"	"$13,631,500 "	72	"$1,003,804 "	"8,374"	"$14,635,304 "	"$11,761,299 "	"$24,408 "	"$6,725,633 "	"$221,540 "	"$2,925,572 "	"$3,050,330 "	"$9,790,439 "	"$9,330,650 "	"$37,029,170 "	"$55,140,365 "	"$58,636,595 "	--	--	--
"Ball State University (Muncie, IN) "	"$509,749 "	"$2,695 "	"$3,032 "	"$203,220 "	"$16,835 "	$0 	"$180,058 "	"$447,849 "	"$273,849 "	"$2,476,977 "	14.90%	--	14.40%	70.40%	11.20%	"142,215"	"21,145"	"$3,760,074 "	--	"$909,154 "	--	--	--	"$909,154 "	"$2,974,519 "	"$15,004 "	"$21,352,759 "	"$16,943 "	"$19,389,480 "	"$145,361 "	"$2,505,995 "	"$858,435 "	"$27,538,277 "	"$33,644,305 "	"$34,026,854 "	--	--	--
"Bowling Green State University (Bowling Green, OH) "	"$1,318,531 "	"$555,049 "	"$9,343 "	"$106,368 "	"$5,674 "	$0 	"$936,031 "	"$463,078 "	"$246,897 "	"$3,653,950 "	15.50%	--	13.60%	77.20%	38.90%	"122,673"	"19,046"	"$6,901,934 "	--	--	--	--	--	--	"$1,114,627 "	"$14,071 "	"$3,234,129 "	"$9,075 "	"$2,819,132 "	"$268,134 "	"$949,052 "	"$901,420 "	"$10,801,642 "	"$17,744,369 "	"$19,170,849 "	--	--	--
"California State Univ., San Diego (San Diego, CA) "	"$929,775 "	$170 	$150 	$0 	"$108,346 "	$70 	"$65,254 "	"$1,039,655 "	"$215,414 "	"$2,387,284 "	3.90%	4.40%	3.80%	35.40%	6.60%	"186,139"	"7,203"	"$3,103,979 "	"3,136"	"$2,824,150 "	1	"$8,000 "	"3,137"	"$2,832,150 "	"$14,340,230 "	"$15,230 "	"$11,363,696 "	"$98,525 "	"$10,795,089 "	"$471,117 "	"$12,046,008 "	"$2,824,150 "	"$42,627,577 "	"$47,360,032 "	"$49,156,832 "	--	--	--
"Central Michigan University (Mt. Pleasant, MI) "	"$639,546 "	$0 	"$29,835 "	"$186,086 "	"$125,773 "	"$1,290 "	"$31,770 "	"$281,635 "	"$102,927 "	"$1,473,350 "	10.10%	11.10%	9.80%	63.10%	24.20%	"151,698"	"15,362"	"$2,667,425 "	"1,464"	"$589,095 "	8	"$5,675 "	"1,472"	"$594,770 "	"$3,469,281 "	"$9,369 "	"$1,870,607 "	"$10,000 "	"$560,066 "	"$168,711 "	"$2,641,520 "	"$589,095 "	"$6,644,382 "	"$11,043,648 "	"$11,595,052 "	--	--	--
"Clemson University (Clemson, SC) "	--	--	--	--	--	--	--	--	--	"$3,468,984 "	19.30%	--	17.20%	100.00%	15.50%	"90,277"	"17,453"	"$6,084,713 "	"16,430"	"$6,240,057 "	"5,476"	"$7,028,098 "	"21,906"	"$13,268,155 "	"$9,685,095 "	"$29,239 "	"$4,545,868 "	--	"$1,351,520 "	--	"$2,882,426 "	--	"$13,000,636 "	"$39,253,223 "	"$39,876,418 "	--	--	--
