Public Research/Doctoral / FY2007 																																						
Institution	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Current	  Alumni Participation 	  Undergraduate	  Alumni Donors	  Percentage	  Alumni Giving	  # Alumni of	  # Alumni Donors 	  Alumni: Total	  Athletics/Curr	  Athletics/Curr	  Athletics/Cap	  Athletics/Cap	  Athletics/Total:	  Athletics/Total	  Corporations:	  Expenditures	  Foundations:	  Foundations:	  Foundations:	  Corporations:	  Corporations:	  Total Curr	  Total Current	  Grand Total	  Grand Total	  Parents (incl.	  Parents (incl.	  Parents (incl.
	Ops/Academic	Ops/Fac-Staff	Ops/Research 	Ops/Pub Serv	Ops/Libraries 	Ops/Physical	Ops/Student	Ops/Athletics 	Ops/Other Purposes 	Operations		Alumni Participation 	for Current	of Alumni Solicited 	as a Percentage	Record 		"Giving ($,"	Ops: Donors	Ops: Total	Purp: Donors	Purp (PV):	Donors (#) 	(PV): Total	Total 	Per Student 	Total 	Curr Ops/Athletics 	Current Operations	Curr Ops/Athletics 	Current Operations	Ops/Athletics 	Operations 	(2004 and after) 	(2003 and earlier) 	Grandp) - Curr	Grandp) - Curr	Grandp) - Curr
	Divisions 	Comp 		& Ext 		Plant O&M 	Aid 			Total 			Ops. as % of		of Total Giving 			from Details) 	(#) 	Amount ($) 	(#) 	Total Amount		Amount ($) 					Total 		Total 					Ops Solicited	Ops Donors	Ops ($ Details) 
													# of Record 									($) 														(#) 	(#) 	
"Arizona State University Foundation (Tempe, AZ) "	"$761,208 "	"$202,596 "	"$29,569 "	"$2,725 "	"$61,103 "	"$192,247 "	"$438,977 "	"$4,025,487 "	"$1,672,498 "	"$9,957,910 "	7.10%	10.70%	7.00%	48.10%	10.50%	"392,088"	"27,687"	"$10,888,397 "	"9,334"	"$11,890,434 "	10	"$7,606,169 "	"9,344"	"$19,496,603 "	"$29,104,121 "	"$20,092 "	"$21,005,368 "	"$318,882 "	"$16,676,504 "	"$2,194,012 "	"$23,260,613 "	"$11,436,690 "	"$72,914,256 "	"$104,010,979 "	"$104,074,717 "	--	--	--
"Auburn University (Auburn, AL) "	"$4,052,269 "	"$28,300 "	"$10,173 "	"$144,866 "	"$29,748 "	"$2,432 "	"$3,781,842 "	"$6,979,357 "	"$688,005 "	"$16,199,645 "	12.40%	12.90%	12.00%	98.10%	39.80%	"203,587"	"25,178"	"$30,452,492 "	"8,447"	"$19,073,261 "	75	"$2,419,957 "	"8,522"	"$21,493,218 "	"$14,653,612 "	"$29,053 "	"$9,006,433 "	"$223,397 "	"$4,119,262 "	"$3,143,244 "	"$12,450,478 "	"$12,950,598 "	"$49,719,113 "	"$76,480,363 "	"$77,113,689 "	--	--	--
"Ball State University (Muncie, IN) "	"$473,393 "	$925 	$821 	"$2,170,817 "	"$21,082 "	$0 	"$217,163 "	"$358,934 "	"$119,917 "	"$4,310,719 "	11.90%	12.20%	11.30%	92.30%	35.70%	"145,147"	"17,247"	"$8,123,681 "	"2,914"	"$1,129,663 "	568	"$2,589,492 "	"3,482"	"$3,719,155 "	"$3,525,887 "	"$17,409 "	"$8,418,639 "	"$2,800 "	"$6,532,139 "	"$458,368 "	"$2,577,273 "	"$1,127,214 "	"$15,033,930 "	"$22,751,542 "	"$23,312,478 "	--	--	--
"Bowling Green State University (Bowling Green, OH) "	"$1,278,424 "	"$55,405 "	"$6,140 "	"$315,491 "	"$193,000 "	$0 	"$1,227,121 "	"$419,783 "	"$323,176 "	"$3,833,481 "	8.50%	--	--	82.50%	49.60%	"146,471"	"12,418"	"$8,958,839 "	--	--	--	--	--	--	"$1,793,593 "	"$15,691 "	"$1,103,532 "	"$2,915 "	"$1,058,702 "	"$217,058 "	"$1,674,046 "	"$844,795 "	"$8,946,034 "	"$18,045,313 "	"$19,711,635 "	--	--	--
"California State Univ., San Diego (San Diego, CA) "	"$673,818 "	"$18,345 "	"$5,150 "	$0 	"$33,658 "	$75 	"$69,331 "	"$948,617 "	"$191,834 "	"$1,976,907 "	4.20%	4.50%	4.10%	37.60%	6.20%	"184,105"	"7,683"	"$2,905,670 "	"2,567"	"$2,676,821 "	13	"$39,444 "	"2,580"	"$2,716,265 "	"$11,641,433 "	"$16,167 "	"$13,314,229 "	"$46,700 "	"$12,206,958 "	"$418,932 "	"$9,092,849 "	"$2,676,821 "	"$37,771,860 "	"$46,758,175 "	"$49,618,328 "	--	--	--
"Central Michigan University (Mt. Pleasant, MI) "	"$543,162 "	$200 	"$24,360 "	"$174,872 "	"$134,623 "	"$1,975 "	"$39,166 "	"$373,709 "	"$184,291 "	"$1,535,066 "	7.80%	9.00%	7.40%	46.60%	34.60%	"160,809"	"12,568"	"$4,848,141 "	"1,579"	"$740,508 "	320	"$228,604 "	"1,899"	"$969,112 "	"$3,813,027 "	"$10,830 "	"$1,511,809 "	"$5,580 "	"$272,708 "	"$207,011 "	"$3,086,698 "	"$723,013 "	"$8,183,523 "	"$14,016,711 "	"$14,446,679 "	--	--	--
"Clemson University (Clemson, SC) "	--	--	--	--	--	--	--	--	--	"$6,072,519 "	23.70%	--	--	100.00%	10.00%	"92,886"	"21,969"	"$9,414,854 "	"15,739"	"$9,224,725 "	"6,745"	"$9,291,688 "	"22,484"	"$18,516,413 "	"$56,075,761 "	"$33,336 "	"$7,743,238 "	--	"$5,374,447 "	--	"$3,694,515 "	--	"$22,727,878 "	"$94,567,399 "	"$94,918,045 "	--	--	--
