Public Research/Doctoral / FY2008 																																						
Institution	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Current	  Alumni Participation 	  Undergraduate	  Alumni Donors	  Percentage	  Alumni Giving	  # Alumni of	  # Alumni Donors 	  Alumni: Total	  Athletics/Curr	  Athletics/Curr	  Athletics/Cap	  Athletics/Cap	  Athletics/Total:	  Athletics/Total	  Corporations:	  Expenditures	  Foundations:	  Foundations:	  Foundations:	  Corporations:	  Corporations:	  Total Curr	  Total Current	  Grand Total	  Grand Total	  Parents (incl.	  Parents (incl.	  Parents (incl.
	Ops/Academic	Ops/Fac-Staff	Ops/Research 	Ops/Pub Serv	Ops/Libraries 	Ops/Physical	Ops/Student	Ops/Athletics 	Ops/Other Purposes 	Operations		Alumni Participation 	for Current	of Alumni Solicited 	as a Percentage	Record 		"Giving ($,"	Ops: Donors	Ops: Total	Purp: Donors	Purp (PV):	Donors (#) 	(PV): Total	Total 	Per Student 	Total 	Curr Ops/Athletics 	Current Operations	Curr Ops/Athletics 	Current Operations	Ops/Athletics 	Operations 	(2004 and after) 	(2003 and earlier) 	Grandp) - Curr	Grandp) - Curr	Grandp) - Curr
	Divisions 	Comp 		& Ext 		Plant O&M 	Aid 			Total 			Ops. as % of		of Total Giving 			from Details) 	(#) 	Amount ($) 	(#) 	Total Amount		Amount ($) 					Total 		Total 					Ops Solicited	Ops Donors	Ops ($ Details) 
													# of Record 									($) 														(#) 	(#) 	
"Arizona State University Foundation (Tempe, AZ) "	"$767,955 "	"$255,244 "	"$135,834 "	"$4,100 "	"$2,172 "	"$61,000 "	"$364,370 "	"$4,891,539 "	"$3,653,539 "	"$10,271,369 "	3.30%	4.20%	3.20%	93.40%	13.30%	"480,271"	"15,902"	"$16,043,401 "	"10,437"	"$14,767,685 "	5	"$1,266,478 "	"10,442"	"$16,034,163 "	"$30,160,729 "	"$22,007 "	"$40,630,853 "	"$434,430 "	"$30,219,016 "	"$7,125,959 "	"$24,447,924 "	"$17,587,630 "	"$88,222,286 "	"$120,468,531 "	"$120,712,441 "	--	--	--
"Auburn University (Auburn, AL) "	"$3,945,220 "	"$51,670 "	"$5,292 "	"$222,810 "	"$85,304 "	"$2,644 "	"$3,977,532 "	"$7,516,128 "	"$739,502 "	"$17,549,659 "	11.50%	12.30%	11.10%	98.10%	34.50%	"207,293"	"23,790"	"$25,430,787 "	"8,418"	"$20,347,310 "	99	"$2,892,797 "	"8,517"	"$23,240,107 "	"$15,172,667 "	"$29,492 "	"$14,588,532 "	"$384,853 "	"$4,154,155 "	"$3,385,845 "	"$12,645,422 "	"$14,017,287 "	"$43,295,066 "	"$73,618,003 "	"$75,513,030 "	--	--	--
"Ball State University (Muncie, IN) "	"$323,467 "	"$1,320 "	"$1,113 "	"$189,981 "	"$60,331 "	$0 	"$217,614 "	"$414,604 "	"$1,347,335 "	"$3,629,717 "	10.90%	11.20%	8.50%	88.40%	44.20%	"148,564"	"16,138"	"$11,580,813 "	"2,126"	"$843,544 "	288	"$1,959,870 "	"2,414"	"$2,803,414 "	"$6,811,764 "	"$17,681 "	"$5,195,385 "	"$1,800 "	"$3,651,285 "	"$214,088 "	"$6,241,188 "	"$914,187 "	"$14,831,878 "	"$26,198,094 "	"$26,281,882 "	--	--	--
"Bowling Green State University (Bowling Green, OH) "	"$1,047,924 "	"$1,057,139 "	$600 	"$265,823 "	"$233,731 "	$0 	"$2,222,895 "	"$439,630 "	"$218,758 "	"$6,326,694 "	9.10%	--	10.30%	82.60%	49.10%	"148,186"	"13,551"	"$8,042,788 "	--	--	--	--	--	--	"$1,251,185 "	"$16,308 "	"$2,069,522 "	"$126,886 "	"$1,708,282 "	"$134,674 "	"$957,065 "	"$868,523 "	"$12,396,015 "	"$16,377,950 "	"$19,099,422 "	--	--	--
"California State Univ., San Diego (San Diego, CA) "	"$683,063 "	"$5,230 "	$0 	$0 	"$25,123 "	$75 	"$106,327 "	"$967,390 "	"$310,059 "	"$2,146,271 "	3.40%	3.70%	3.30%	27.00%	14.30%	"196,772"	"6,621"	"$9,131,948 "	"2,255"	"$2,217,043 "	15	"$940,130 "	"2,270"	"$3,157,173 "	"$11,077,053 "	"$15,339 "	"$24,185,258 "	"$50,135 "	"$13,863,570 "	"$193,332 "	"$9,283,327 "	"$2,190,524 "	"$40,698,255 "	"$63,671,002 "	"$65,147,988 "	--	--	--
"Central Michigan University (Mt. Pleasant, MI) "	"$616,634 "	$0 	"$27,065 "	"$194,834 "	"$114,102 "	$44 	"$42,388 "	"$548,120 "	"$169,638 "	"$1,768,285 "	7.50%	8.50%	7.20%	42.40%	21.90%	"170,404"	"12,728"	"$2,911,518 "	"3,696"	"$1,042,900 "	314	"$157,459 "	"4,010"	"$1,200,359 "	"$5,607,168 "	"$11,561 "	"$1,937,971 "	"$3,200 "	"$876,616 "	"$252,175 "	"$5,020,359 "	"$1,016,066 "	"$9,561,234 "	"$13,274,238 "	"$13,287,432 "	--	--	--
"Clemson University (Clemson, SC) "	--	--	--	--	--	--	--	--	--	"$4,797,328 "	22.70%	--	--	100.00%	18.60%	"101,461"	"23,078"	"$11,465,437 "	"16,256"	"$21,018,962 "	--	--	"16,256"	"$21,018,962 "	"$12,308,143 "	"$36,820 "	"$9,865,159 "	--	"$5,864,076 "	--	"$6,644,901 "	--	"$41,788,722 "	"$61,492,152 "	"$62,186,182 "	--	--	--
