Public Research/Doctoral / FY2003 																																						
Institution	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Current	  Alumni Participation 	  Undergraduate	  Alumni Donors	  Percentage	  Alumni Giving	  # Alumni of	  # Alumni Donors 	  Alumni: Total	  Athletics/Curr	  Athletics/Curr	  Athletics/Cap	  Athletics/Cap	  Athletics/Total:	  Athletics/Total	  Corporations:	  Expenditures	  Foundations:	  Foundations:	  Foundations:	  Corporations:	  Corporations:	  Total Curr	  Total Current	  Grand Total	  Grand Total	  Parents (incl.	  Parents (incl.	  Parents (incl.
	Ops/Academic	Ops/Fac-Staff	Ops/Research 	Ops/Pub Serv	Ops/Libraries 	Ops/Physical	Ops/Student	Ops/Athletics 	Ops/Other Purposes 	Operations		Alumni Participation 	for Current	of Alumni Solicited 	as a Percentage	Record 		"Giving ($,"	Ops: Donors	Ops: Total	Purp: Donors	Purp (PV):	Donors (#) 	(PV): Total	Total 	Per Student 	Total 	Curr Ops/Athletics 	Current Operations	Curr Ops/Athletics 	Current Operations	Ops/Athletics 	Operations 	(2004 and after) 	(2003 and earlier) 	Grandp) - Curr	Grandp) - Curr	Grandp) - Curr
	Divisions 	Comp 		& Ext 		Plant O&M 	Aid 			Total 			Ops. as % of		of Total Giving 			from Details) 	(#) 	Amount ($) 	(#) 	Total Amount		Amount ($) 					Total 		Total 					Ops Solicited	Ops Donors	Ops ($ Details) 
													# of Record 									($) 														(#) 	(#) 	
"Arizona State University Foundation (Tempe, AZ) "	"$1,172,837 "	$350 	$50 	$0 	"$2,305 "	"$4,217 "	"$397,374 "	"$2,340,255 "	"$2,284,111 "	"$6,202,069 "	4.90%	3.90%	4.80%	85.70%	11.70%	"277,724"	"13,664"	"$7,350,091 "	"6,545"	"$6,115,483 "	18	"$277,335 "	"6,563"	"$6,392,818 "	"$29,760,620 "	"$14,875 "	"$10,606,605 "	"$330,777 "	"$8,977,392 "	"$1,706,525 "	"$26,620,317 "	"$6,373,907 "	"$52,564,234 "	"$62,967,736 "	"$63,058,341 "	--	--	--
"Auburn University (Auburn, AL) "	"$2,178,435 "	$55 	"$24,075 "	"$506,710 "	"$14,772 "	"$1,282 "	"$2,469,746 "	"$3,052,694 "	"$271,417 "	"$8,671,108 "	14.70%	14.60%	14.40%	98.80%	36.80%	"181,046"	"26,613"	"$15,737,313 "	0	$0 	0	$0 	0	$0 	"$10,140,153 "	"$22,509 "	"$4,577,662 "	"$35,438 "	"$1,171,970 "	"$2,699,427 "	"$6,938,480 "	"$7,354,162 "	"$27,014,688 "	"$42,809,017 "	"$44,797,126 "	--	--	--
"Ball State University (Muncie, IN) "	"$424,631 "	"$204,452 "	"$2,642 "	"$226,970 "	"$12,724 "	$0 	"$156,881 "	"$424,617 "	"$279,053 "	"$2,493,650 "	13.90%	--	0.00%	95.90%	9.20%	"136,718"	"18,987"	"$3,432,038 "	2	"$1,000 "	0	$0 	2	"$1,000 "	"$7,575,900 "	"$16,083 "	"$13,231,697 "	"$6,124 "	"$12,975,196 "	"$130,246 "	"$7,335,946 "	"$806,586 "	"$32,461,077 "	"$37,312,935 "	"$37,339,245 "	--	--	--
"Bowling Green State University (Bowling Green, OH) "	"$1,147,928 "	"$104,250 "	"$1,135 "	"$201,274 "	"$10,392 "	$0 	"$682,158 "	"$444,053 "	"$136,072 "	"$2,727,262 "	13.50%	--	13.10%	83.90%	36.00%	"133,260"	"18,008"	"$3,111,588 "	--	--	--	--	--	--	"$1,619,990 "	"$12,867 "	"$1,112,687 "	"$31,450 "	"$917,687 "	"$309,925 "	"$1,098,978 "	"$1,021,971 "	"$7,353,033 "	"$8,651,717 "	"$8,741,362 "	--	--	--
"California State Univ., San Diego (San Diego, CA) "	"$503,765 "	"$7,640 "	$100 	$50 	"$26,053 "	"$66,415 "	"$133,006 "	"$950,943 "	"$102,988 "	"$1,830,137 "	4.50%	4.50%	4.50%	64.10%	5.10%	"155,458"	"7,066"	"$2,201,800 "	"3,100"	"$3,338,785 "	4	"$32,789 "	"3,104"	"$3,371,574 "	"$11,970,012 "	"$14,618 "	"$13,453,707 "	"$59,000 "	"$12,658,529 "	"$1,020,150 "	"$10,857,347 "	"$3,338,785 "	"$40,036,140 "	"$42,949,868 "	"$43,372,743 "	--	--	--
"Central Michigan University (Mt. Pleasant, MI) "	"$570,777 "	$0 	"$23,094 "	"$182,430 "	"$91,701 "	$175 	"$56,788 "	"$334,927 "	"$414,357 "	"$1,741,763 "	11.70%	--	8.90%	99.10%	12.80%	"135,752"	"15,929"	"$2,345,378 "	"1,608"	"$661,930 "	21	"$35,950 "	"1,629"	"$697,880 "	"$11,432,166 "	"$9,169 "	"$2,334,081 "	"$3,000 "	"$527,444 "	"$172,804 "	"$10,803,566 "	"$661,930 "	"$14,827,088 "	"$18,330,638 "	"$18,573,268 "	--	--	--
"Clemson University (Clemson, SC) "	--	--	--	--	--	--	--	--	--	"$2,517,057 "	17.20%	--	15.00%	100.00%	12.80%	"89,168"	"15,301"	"$4,749,597 "	--	"$5,442,335 "	--	"$6,393,424 "	--	"$11,835,759 "	"$5,592,050 "	"$28,747 "	"$2,379,387 "	--	"$1,760,787 "	--	"$2,791,136 "	--	"$19,162,432 "	"$37,201,053 "	"$37,233,968 "	--	--	--
