Public Research/Doctoral / FY2001 																																						
Institution	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Current	  Alumni Participation 	  Undergraduate	  Alumni Donors	  Percentage	  Alumni Giving	  # Alumni of	  # Alumni Donors 	  Alumni: Total	  Athletics/Curr	  Athletics/Curr	  Athletics/Cap	  Athletics/Cap	  Athletics/Total:	  Athletics/Total	  Corporations:	  Expenditures	  Foundations:	  Foundations:	  Foundations:	  Corporations:	  Corporations:	  Total Curr	  Total Current	  Grand Total	  Grand Total	  Parents (incl.	  Parents (incl.	  Parents (incl.
	Ops/Academic	Ops/Fac-Staff	Ops/Research 	Ops/Pub Serv	Ops/Libraries 	Ops/Physical	Ops/Student	Ops/Athletics 	Ops/Other Purposes 	Operations		Alumni Participation 	for Current	of Alumni Solicited 	as a Percentage	Record 		"Giving ($,"	Ops: Donors	Ops: Total	Purp: Donors	Purp (PV):	Donors (#) 	(PV): Total	Total 	Per Student 	Total 	Curr Ops/Athletics 	Current Operations	Curr Ops/Athletics 	Current Operations	Ops/Athletics 	Operations 	(2004 and after) 	(2003 and earlier) 	Grandp) - Curr	Grandp) - Curr	Grandp) - Curr
	Divisions 	Comp 		& Ext 		Plant O&M 	Aid 			Total 			Ops. as % of		of Total Giving 			from Details) 	(#) 	Amount ($) 	(#) 	Total Amount		Amount ($) 					Total 		Total 					Ops Solicited	Ops Donors	Ops ($ Details) 
													# of Record 									($) 														(#) 	(#) 	
"Arizona State University Foundation (Tempe, AZ) "	"$1,271,740 "	$795 	$25 	$0 	$291 	$0 	"$507,146 "	"$2,418,765 "	"$698,347 "	"$4,992,117 "	--	--	--	--	--	--	"15,163"	"$10,892,248 "	"7,710"	"$6,696,770 "	1	--	--	--	"$24,725,013 "	"$14,306 "	"$9,819,274 "	"$465,266 "	"$7,965,564 "	"$1,542,104 "	"$19,640,858 "	"$6,703,509 "	"$46,822,656 "	--	"$84,372,665 "	--	--	--
"Auburn University (Auburn, AL) "	"$1,997,794 "	"$239,880 "	"$10,232 "	"$5,461 "	"$29,395 "	$50 	"$2,050,975 "	"$2,610,521 "	"$91,221 "	"$17,074,375 "	11.00%	11.40%	10.20%	98.50%	--	"171,931"	"18,877"	"$37,802,168 "	"9,374"	"$11,133,179 "	"3,121"	--	--	--	"$10,270,653 "	"$24,637 "	"$3,162,119 "	"$14,478 "	"$1,209,379 "	"$2,776,812 "	"$7,347,855 "	"$6,875,561 "	"$29,734,815 "	--	"$60,619,961 "	--	--	--
"Ball State University (Muncie, IN) "	"$224,380 "	"$48,335 "	"$2,911 "	"$430,725 "	"$14,636 "	$0 	"$132,576 "	"$326,081 "	"$580,866 "	"$2,219,222 "	15.60%	--	13.70%	95.60%	--	"128,748"	"20,079"	"$4,065,107 "	"3,665"	"$630,169 "	0	--	--	--	"$3,176,300 "	"$12,162 "	"$9,014,188 "	"$1,350 "	"$8,008,132 "	"$92,942 "	"$2,923,252 "	"$630,169 "	"$18,054,099 "	--	"$25,186,314 "	--	--	--
"Bowling Green State University (Bowling Green, OH) "	"$753,676 "	"$67,630 "	$250 	$0 	$0 	$0 	"$242,661 "	"$293,128 "	$0 	"$1,357,345 "	11.20%	11.00%	10.60%	57.10%	--	"125,590"	"14,124"	"$5,262,754 "	"2,039"	"$782,933 "	532	--	--	--	"$1,346,754 "	"$11,340 "	"$1,691,490 "	"$51,930 "	"$721,966 "	"$225,539 "	"$739,910 "	"$782,933 "	"$4,604,723 "	--	"$11,486,505 "	--	--	--
"California State Univ., San Diego (San Diego, CA) "	"$408,771 "	$970 	"$2,533 "	$715 	"$61,319 "	$25 	"$206,796 "	"$532,126 "	"$154,547 "	"$1,401,021 "	3.80%	3.70%	3.70%	33.10%	--	"157,772"	"5,971"	"$5,068,643 "	"3,020"	"$2,018,888 "	10	--	--	--	"$11,853,524 "	"$14,976 "	"$7,533,288 "	"$37,065 "	"$6,712,868 "	"$734,308 "	"$10,585,642 "	"$2,006,075 "	"$31,519,867 "	--	"$42,097,267 "	--	--	--
"Central Michigan University (Mt. Pleasant, MI) "	"$387,917 "	$0 	"$21,802 "	"$160,275 "	"$2,356 "	$247 	"$82,534 "	"$312,834 "	"$186,398 "	"$1,204,254 "	10.70%	12.30%	8.70%	100.00%	--	"130,474"	"13,924"	"$2,238,956 "	"1,811"	"$551,756 "	168	--	--	--	"$2,300,418 "	"$8,225 "	"$1,211,467 "	$0 	"$116,270 "	"$132,455 "	"$1,604,345 "	"$551,857 "	"$4,508,497 "	--	"$7,855,146 "	--	--	--
"Clemson University (Clemson, SC) "	"$117,091 "	$0 	$0 	$0 	$0 	$0 	$0 	$0 	"$2,382,398 "	"$3,152,173 "	20.20%	--	16.50%	100.00%	--	"86,243"	"17,459"	"$16,552,095 "	--	"$12,712,294 "	--	--	--	--	"$10,772,768 "	"$26,320 "	"$5,160,826 "	$0 	"$3,760,096 "	$0 	"$2,853,093 "	"$12,712,294 "	"$23,936,245 "	--	"$50,458,360 "	--	--	--
