Public Research/Doctoral / FY2004 																																						
Institution	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Current	  Alumni Participation 	  Undergraduate	  Alumni Donors	  Percentage	  Alumni Giving	  # Alumni of	  # Alumni Donors 	  Alumni: Total	  Athletics/Curr	  Athletics/Curr	  Athletics/Cap	  Athletics/Cap	  Athletics/Total:	  Athletics/Total	  Corporations:	  Expenditures	  Foundations:	  Foundations:	  Foundations:	  Corporations:	  Corporations:	  Total Curr	  Total Current	  Grand Total	  Grand Total	  Parents (incl.	  Parents (incl.	  Parents (incl.
	Ops/Academic	Ops/Fac-Staff	Ops/Research 	Ops/Pub Serv	Ops/Libraries 	Ops/Physical	Ops/Student	Ops/Athletics 	Ops/Other Purposes 	Operations		Alumni Participation 	for Current	of Alumni Solicited 	as a Percentage	Record 		"Giving ($,"	Ops: Donors	Ops: Total	Purp: Donors	Purp (PV):	Donors (#) 	(PV): Total	Total 	Per Student 	Total 	Curr Ops/Athletics 	Current Operations	Curr Ops/Athletics 	Current Operations	Ops/Athletics 	Operations 	(2004 and after) 	(2003 and earlier) 	Grandp) - Curr	Grandp) - Curr	Grandp) - Curr
	Divisions 	Comp 		& Ext 		Plant O&M 	Aid 			Total 			Ops. as % of		of Total Giving 			from Details) 	(#) 	Amount ($) 	(#) 	Total Amount		Amount ($) 					Total 		Total 					Ops Solicited	Ops Donors	Ops ($ Details) 
													# of Record 									($) 														(#) 	(#) 	
"Arizona State University Foundation (Tempe, AZ) "	"$779,588 "	"$22,000 "	"$20,191 "	$0 	$395 	"$49,659 "	"$388,027 "	"$2,021,048 "	"$3,123,869 "	"$6,411,007 "	3.10%	3.30%	3.10%	59.10%	10.20%	"388,086"	"12,205"	"$7,767,481 "	"6,717"	"$5,864,521 "	17	"$240,989 "	"6,734"	"$6,105,510 "	"$23,935,060 "	"$15,527 "	"$25,095,057 "	"$377,770 "	"$18,350,702 "	"$1,433,716 "	"$16,768,452 "	"$5,889,939 "	"$56,254,505 "	"$76,405,199 "	"$78,235,637 "	--	--	--
"Auburn University (Auburn, AL) "	"$2,366,331 "	"$2,100 "	"$28,690 "	"$2,272,954 "	"$9,955 "	$550 	"$3,244,783 "	"$3,907,035 "	"$321,611 "	"$12,367,953 "	15.00%	14.70%	14.60%	98.50%	34.50%	"185,683"	"27,861"	"$18,529,853 "	3	$430 	--	--	3	$430 	"$11,930,617 "	"$23,708 "	"$7,297,633 "	"$159,831 "	"$3,477,354 "	"$2,861,341 "	"$7,669,406 "	"$8,483,085 "	"$33,243,229 "	"$53,669,241 "	"$54,251,423 "	--	--	--
"Ball State University (Muncie, IN) "	"$433,765 "	"$5,145 "	"$2,848 "	"$202,772 "	"$12,723 "	$0 	"$98,842 "	"$458,248 "	"$179,938 "	"$2,148,215 "	13.80%	--	13.00%	72.20%	43.00%	"139,683"	"19,248"	"$21,128,306 "	0	$0 	0	$0 	0	$0 	"$2,657,929 "	"$14,235 "	"$15,984,093 "	"$14,275 "	"$14,693,583 "	"$136,481 "	"$2,333,651 "	"$838,146 "	"$25,261,555 "	"$49,183,899 "	"$49,368,321 "	--	--	--
"Bowling Green State University (Bowling Green, OH) "	"$1,372,248 "	"$102,906 "	"$21,226 "	"$119,132 "	"$7,166 "	$0 	"$1,872,682 "	"$399,125 "	"$328,256 "	"$4,222,741 "	14.10%	--	12.90%	91.30%	44.60%	"138,278"	"19,542"	"$4,418,733 "	--	--	--	--	--	--	"$1,153,990 "	"$13,552 "	"$1,378,274 "	"$1,180 "	"$1,118,274 "	"$241,450 "	"$955,416 "	"$814,583 "	"$8,747,206 "	"$9,917,059 "	"$10,177,685 "	--	--	--
"California State Univ., San Diego (San Diego, CA) "	"$744,953 "	"$1,165 "	$0 	$0 	"$28,169 "	"$2,100 "	"$41,722 "	"$796,406 "	"$81,648 "	"$1,783,407 "	4.20%	4.20%	4.20%	41.60%	6.10%	"155,440"	"6,590"	"$3,026,442 "	"2,839"	"$2,630,104 "	3	"$16,100 "	"2,842"	"$2,646,204 "	"$15,007,314 "	"$14,956 "	"$6,176,599 "	"$24,500 "	"$5,473,377 "	"$877,420 "	"$9,980,885 "	"$2,642,739 "	"$36,872,663 "	"$49,452,110 "	"$50,024,618 "	--	--	--
"Central Michigan University (Mt. Pleasant, MI) "	"$637,578 "	$0 	"$19,872 "	"$192,105 "	"$113,158 "	$785 	"$50,474 "	"$314,662 "	"$419,924 "	"$1,811,360 "	10.60%	11.90%	10.30%	54.60%	23.80%	"144,475"	"15,344"	"$3,203,620 "	"1,521"	"$561,704 "	15	"$6,475 "	"1,536"	"$568,179 "	"$4,897,879 "	"$9,199 "	"$2,728,855 "	"$6,200 "	"$289,318 "	"$115,987 "	"$4,574,225 "	"$561,704 "	"$8,432,249 "	"$13,462,525 "	"$13,951,369 "	--	--	--
"Clemson University (Clemson, SC) "	--	--	--	--	--	--	--	--	--	"$3,169,389 "	17.90%	--	15.70%	100.00%	15.50%	"91,781"	"16,450"	"$5,570,188 "	"14,672"	"$5,084,274 "	"7,335"	"$5,852,101 "	"22,007"	"$10,936,375 "	"$12,740,268 "	"$28,390 "	"$2,096,934 "	--	"$1,462,526 "	--	"$3,063,279 "	--	"$14,154,771 "	"$35,947,039 "	"$36,615,268 "	--	--	--
