Public Research/Doctoral / FY2002 																																						
Institution	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Current	  Alumni Participation 	  Undergraduate	  Alumni Donors	  Percentage	  Alumni Giving	  # Alumni of	  # Alumni Donors 	  Alumni: Total	  Athletics/Curr	  Athletics/Curr	  Athletics/Cap	  Athletics/Cap	  Athletics/Total:	  Athletics/Total	  Corporations:	  Expenditures	  Foundations:	  Foundations:	  Foundations:	  Corporations:	  Corporations:	  Total Curr	  Total Current	  Grand Total	  Grand Total	  Parents (incl.	  Parents (incl.	  Parents (incl.
	Ops/Academic	Ops/Fac-Staff	Ops/Research 	Ops/Pub Serv	Ops/Libraries 	Ops/Physical	Ops/Student	Ops/Athletics 	Ops/Other Purposes 	Operations		Alumni Participation 	for Current	of Alumni Solicited 	as a Percentage	Record 		"Giving ($,"	Ops: Donors	Ops: Total	Purp: Donors	Purp (PV):	Donors (#) 	(PV): Total	Total 	Per Student 	Total 	Curr Ops/Athletics 	Current Operations	Curr Ops/Athletics 	Current Operations	Ops/Athletics 	Operations 	(2004 and after) 	(2003 and earlier) 	Grandp) - Curr	Grandp) - Curr	Grandp) - Curr
	Divisions 	Comp 		& Ext 		Plant O&M 	Aid 			Total 			Ops. as % of		of Total Giving 			from Details) 	(#) 	Amount ($) 	(#) 	Total Amount		Amount ($) 					Total 		Total 					Ops Solicited	Ops Donors	Ops ($ Details) 
													# of Record 									($) 														(#) 	(#) 	
"Arizona State University Foundation (Tempe, AZ) "	"$935,454 "	$385 	$25 	$0 	"$5,480 "	$300 	"$342,396 "	"$1,826,842 "	"$2,008,871 "	"$5,146,243 "	4.80%	3.80%	4.70%	87.60%	--	"269,842"	"12,965"	"$5,843,534 "	"6,454"	"$5,493,019 "	1	--	--	--	"$29,043,661 "	"$14,294 "	"$10,561,999 "	"$439,137 "	"$8,244,454 "	"$1,455,022 "	"$24,766,096 "	"$5,503,806 "	"$51,211,229 "	--	"$64,366,923 "	--	--	--
"Auburn University (Auburn, AL) "	"$1,970,560 "	"$5,004 "	"$8,869 "	"$1,135 "	"$242,360 "	"$2,218 "	"$2,187,301 "	"$2,679,641 "	"$524,651 "	"$7,712,433 "	9.70%	9.90%	9.50%	98.50%	--	"177,056"	"17,232"	"$15,006,954 "	"8,083"	"$10,641,695 "	289	--	--	--	"$9,312,236 "	"$21,055 "	"$4,307,487 "	"$145,022 "	"$1,671,138 "	"$2,554,805 "	"$6,955,487 "	"$6,739,112 "	"$22,173,070 "	--	"$39,149,768 "	--	--	--
"Ball State University (Muncie, IN) "	"$340,978 "	"$206,193 "	"$2,535 "	"$190,580 "	"$19,606 "	$0 	"$95,763 "	"$450,534 "	"$347,528 "	"$2,181,977 "	15.60%	--	13.50%	95.70%	--	"131,739"	"20,544"	"$4,560,430 "	0	$0 	0	--	--	--	"$2,040,769 "	"$12,692 "	"$12,888,810 "	"$1,900 "	"$12,541,090 "	"$102,954 "	"$1,750,951 "	"$786,866 "	"$20,943,775 "	--	"$26,665,306 "	--	--	--
"Bowling Green State University (Bowling Green, OH) "	"$712,499 "	"$89,320 "	$0 	$0 	$0 	$0 	"$259,695 "	"$340,787 "	$0 	"$1,402,301 "	11.30%	11.30%	10.30%	56.40%	--	"130,043"	"14,714"	"$2,785,973 "	"2,033"	"$818,469 "	280	--	--	--	"$1,334,587 "	"$11,418 "	"$1,567,718 "	$0 	"$743,458 "	"$241,912 "	"$764,868 "	"$818,469 "	"$4,456,159 "	--	"$7,893,001 "	--	--	--
"California State Univ., San Diego (San Diego, CA) "	"$607,046 "	$0 	"$1,408 "	$925 	"$80,020 "	"$10,000 "	"$95,493 "	"$836,129 "	"$278,159 "	"$1,917,650 "	4.00%	4.00%	3.90%	37.00%	--	"157,868"	"6,288"	"$2,547,328 "	"3,090"	"$2,923,661 "	2	--	--	--	"$11,338,779 "	"$14,054 "	"$19,191,478 "	"$151,132 "	"$18,187,676 "	"$978,369 "	"$10,448,935 "	"$2,920,189 "	"$42,236,969 "	--	"$52,706,465 "	--	--	--
"Central Michigan University (Mt. Pleasant, MI) "	"$455,790 "	$0 	"$23,006 "	"$175,425 "	"$88,493 "	"$2,220 "	"$71,207 "	"$329,567 "	"$243,714 "	"$1,466,596 "	11.00%	--	10.20%	98.40%	--	"130,513"	"14,319"	"$2,605,390 "	"2,040"	"$625,824 "	37	--	--	--	"$2,137,042 "	"$8,464 "	"$2,096,562 "	"$1,240 "	"$181,591 "	"$160,155 "	"$1,752,479 "	"$625,599 "	"$5,042,982 "	--	"$8,751,483 "	--	--	--
"Clemson University (Clemson, SC) "	"$103,935 "	$0 	$0 	$0 	$0 	$0 	$0 	$0 	"$2,017,293 "	"$2,654,043 "	18.10%	--	16.20%	100.00%	--	"88,649"	"16,021"	"$13,091,110 "	--	"$11,816,077 "	--	--	--	--	"$6,411,741 "	"$26,418 "	"$3,043,229 "	$0 	"$2,451,864 "	$0 	"$2,751,727 "	"$11,816,077 "	"$21,013,920 "	--	"$40,038,641 "	--	--	--
