Public Research/Doctoral / FY2006 																																						
Institution	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Current	  Alumni Participation 	  Undergraduate	  Alumni Donors	  Percentage	  Alumni Giving	  # Alumni of	  # Alumni Donors 	  Alumni: Total	  Athletics/Curr	  Athletics/Curr	  Athletics/Cap	  Athletics/Cap	  Athletics/Total:	  Athletics/Total	  Corporations:	  Expenditures	  Foundations:	  Foundations:	  Foundations:	  Corporations:	  Corporations:	  Total Curr	  Total Current	  Grand Total	  Grand Total	  Parents (incl.	  Parents (incl.	  Parents (incl.
	Ops/Academic	Ops/Fac-Staff	Ops/Research 	Ops/Pub Serv	Ops/Libraries 	Ops/Physical	Ops/Student	Ops/Athletics 	Ops/Other Purposes 	Operations		Alumni Participation 	for Current	of Alumni Solicited 	as a Percentage	Record 		"Giving ($,"	Ops: Donors	Ops: Total	Purp: Donors	Purp (PV):	Donors (#) 	(PV): Total	Total 	Per Student 	Total 	Curr Ops/Athletics 	Current Operations	Curr Ops/Athletics 	Current Operations	Ops/Athletics 	Operations 	(2004 and after) 	(2003 and earlier) 	Grandp) - Curr	Grandp) - Curr	Grandp) - Curr
	Divisions 	Comp 		& Ext 		Plant O&M 	Aid 			Total 			Ops. as % of		of Total Giving 			from Details) 	(#) 	Amount ($) 	(#) 	Total Amount		Amount ($) 					Total 		Total 					Ops Solicited	Ops Donors	Ops ($ Details) 
													# of Record 									($) 														(#) 	(#) 	
"Arizona State University Foundation (Tempe, AZ) "	"$626,066 "	"$210,650 "	"$1,003,260 "	"$30,000 "	"$2,284 "	"$175,123 "	"$639,825 "	"$3,392,769 "	"$1,336,972 "	"$7,807,025 "	6.60%	9.60%	6.50%	49.40%	37.20%	"378,521"	"25,162"	"$55,290,959 "	"9,123"	"$9,562,693 "	14	"$265,815 "	"9,137"	"$9,828,508 "	"$42,842,526 "	"$18,626 "	"$21,802,716 "	"$263,325 "	"$17,160,557 "	"$3,189,823 "	"$34,464,697 "	"$9,554,821 "	"$76,936,824 "	"$148,755,364 "	"$149,104,936 "	--	--	--
"Auburn University (Auburn, AL) "	"$4,688,405 "	"$20,470 "	"$15,165 "	"$129,690 "	"$25,682 "	"$1,430 "	"$3,247,516 "	"$6,757,853 "	"$2,198,804 "	"$17,348,257 "	12.20%	12.70%	12.00%	98.10%	40.70%	"197,728"	"24,220"	"$23,880,804 "	"8,271"	"$17,972,000 "	53	"$1,245,995 "	"8,324"	"$19,217,995 "	"$13,207,402 "	"$25,767 "	"$9,316,639 "	"$259,914 "	"$4,536,248 "	"$3,060,574 "	"$11,200,592 "	"$12,773,935 "	"$42,424,129 "	"$58,662,314 "	"$60,412,256 "	--	--	--
"Ball State University (Muncie, IN) "	"$409,359 "	"$2,260 "	"$2,176 "	"$432,614 "	"$10,754 "	$0 	"$197,099 "	"$399,890 "	"$195,758 "	"$2,343,833 "	12.40%	12.80%	11.70%	89.90%	11.90%	"142,521"	"17,652"	"$5,773,089 "	"3,129"	"$1,009,255 "	869	"$2,653,480 "	"3,998"	"$3,662,735 "	"$2,198,776 "	"$15,615 "	"$34,255,102 "	"$15,993 "	"$31,981,495 "	"$192,620 "	"$1,303,167 "	"$875,369 "	"$38,485,710 "	"$48,542,376 "	"$48,895,098 "	--	--	--
"Bowling Green State University (Bowling Green, OH) "	"$1,654,585 "	"$104,502 "	"$32,960 "	"$537,464 "	"$23,966 "	$0 	"$1,212,905 "	"$434,877 "	"$808,495 "	"$4,818,411 "	10.40%	--	10.20%	87.60%	59.40%	"139,514"	"14,538"	"$11,436,211 "	--	--	--	--	--	--	"$1,187,549 "	"$14,893 "	"$1,624,445 "	"$5,507 "	"$1,421,345 "	"$237,489 "	"$1,008,924 "	"$855,181 "	"$9,575,116 "	"$19,246,542 "	"$20,288,319 "	--	--	--
"California State Univ., San Diego (San Diego, CA) "	"$755,830 "	"$20,160 "	"$5,150 "	$0 	"$67,779 "	$50 	"$79,100 "	"$1,123,051 "	"$187,251 "	"$2,270,542 "	4.00%	4.40%	3.90%	45.10%	8.90%	"186,397"	"7,392"	"$3,979,886 "	"2,820"	"$2,949,494 "	7	"$543,125 "	"2,827"	"$3,492,619 "	"$10,752,784 "	"$16,098 "	"$11,533,963 "	"$70,500 "	"$10,103,321 "	"$493,313 "	"$8,433,945 "	"$2,949,494 "	"$35,208,770 "	"$44,883,844 "	"$48,940,809 "	--	--	--
"Central Michigan University (Mt. Pleasant, MI) "	"$566,822 "	$0 	"$29,603 "	"$180,595 "	"$110,369 "	$555 	"$29,714 "	"$436,591 "	"$162,825 "	"$1,583,600 "	8.80%	10.10%	8.40%	62.20%	33.00%	"157,859"	"13,845"	"$4,064,613 "	"1,423"	"$714,424 "	50	"$321,018 "	"1,473"	"$1,035,442 "	"$2,912,968 "	"$10,023 "	"$1,902,534 "	"$1,000 "	"$311,968 "	"$144,986 "	"$1,971,473 "	"$714,273 "	"$6,248,563 "	"$12,331,493 "	"$12,348,153 "	--	--	--
"Clemson University (Clemson, SC) "	--	--	--	--	--	--	--	--	--	"$3,727,776 "	24.40%	--	21.20%	100.00%	13.60%	"92,713"	"22,641"	"$6,904,417 "	"6,341"	"$6,879,077 "	"14,795"	"$10,414,062 "	"21,136"	"$17,293,139 "	"$6,909,047 "	"$31,241 "	"$5,972,425 "	--	"$2,858,099 "	--	"$4,421,743 "	--	"$18,338,847 "	"$50,632,865 "	"$51,338,785 "	--	--	--
