Public Research/Doctoral / FY2000 																																						
Institution	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Current	  Alumni Participation 	  Undergraduate	  Alumni Donors	  Percentage	  Alumni Giving	  # Alumni of	  # Alumni Donors 	  Alumni: Total	  Athletics/Curr	  Athletics/Curr	  Athletics/Cap	  Athletics/Cap	  Athletics/Total:	  Athletics/Total	  Corporations:	  Expenditures	  Foundations:	  Foundations:	  Foundations:	  Corporations:	  Corporations:	  Total Curr	  Total Current	  Grand Total	  Grand Total	  Parents (incl.	  Parents (incl.	  Parents (incl.
	Ops/Academic	Ops/Fac-Staff	Ops/Research 	Ops/Pub Serv	Ops/Libraries 	Ops/Physical	Ops/Student	Ops/Athletics 	Ops/Other Purposes 	Operations		Alumni Participation 	for Current	of Alumni Solicited 	as a Percentage	Record 		"Giving ($,"	Ops: Donors	Ops: Total	Purp: Donors	Purp (PV):	Donors (#) 	(PV): Total	Total 	Per Student 	Total 	Curr Ops/Athletics 	Current Operations	Curr Ops/Athletics 	Current Operations	Ops/Athletics 	Operations 	(2004 and after) 	(2003 and earlier) 	Grandp) - Curr	Grandp) - Curr	Grandp) - Curr
	Divisions 	Comp 		& Ext 		Plant O&M 	Aid 			Total 			Ops. as % of		of Total Giving 			from Details) 	(#) 	Amount ($) 	(#) 	Total Amount		Amount ($) 					Total 		Total 					Ops Solicited	Ops Donors	Ops ($ Details) 
													# of Record 									($) 														(#) 	(#) 	
"Arizona State University Foundation (Tempe, AZ) "	"$1,482,020 "	$95 	"$8,000 "	$0 	"$6,248 "	$0 	"$1,449,960 "	"$1,562,740 "	"$4,561,080 "	"$9,129,800 "	--	--	--	--	--	--	"16,141"	"$10,902,200 "	"7,836"	"$4,808,940 "	2	--	"7,838"	--	"$24,661,600 "	"$13,436 "	"$11,580,200 "	"$374,720 "	"$9,029,470 "	"$1,658,170 "	"$20,136,500 "	"$4,799,140 "	"$53,978,800 "	--	"$73,197,900 "	--	--	--
"Auburn University (Auburn, AL) "	"$2,808,530 "	"$17,489 "	"$9,563 "	"$1,344 "	"$184,267 "	$50 	"$1,893,780 "	"$2,124,590 "	"$62,367 "	"$8,021,580 "	11.40%	11.70%	11.00%	67.30%	--	"168,378"	"19,124"	"$17,669,700 "	"7,448"	"$4,445,890 "	"1,082"	--	"8,530"	--	"$10,296,800 "	"$22,040 "	"$2,336,330 "	"$29,331 "	"$1,423,560 "	"$1,395,170 "	"$6,945,230 "	"$4,445,890 "	"$19,452,200 "	--	"$37,301,100 "	--	--	--
"Ball State University (Muncie, IN) "	"$223,058 "	"$4,805 "	"$1,884 "	"$325,025 "	"$12,514 "	$0 	"$81,284 "	"$307,543 "	"$149,219 "	"$1,664,780 "	12.90%	--	10.60%	82.20%	--	"122,125"	"15,718"	"$7,212,770 "	"3,181"	"$575,596 "	40	--	"3,221"	--	"$1,676,070 "	"$13,467 "	"$4,732,780 "	"$1,150 "	"$3,951,930 "	"$96,528 "	"$1,425,950 "	"$575,596 "	"$10,393,300 "	--	"$18,684,400 "	--	--	--
"Bowling Green State University (Bowling Green, OH) "	"$773,238 "	"$69,843 "	$0 	$0 	$0 	$0 	"$225,722 "	"$243,507 "	$0 	"$1,312,310 "	11.70%	--	11.00%	51.60%	--	"122,924"	"14,332"	"$1,802,980 "	"1,789"	"$599,375 "	123	--	"1,912"	--	"$1,027,180 "	"$12,096 "	"$2,953,720 "	$0 	"$510,590 "	"$171,235 "	"$626,620 "	"$599,375 "	"$3,671,320 "	--	"$7,809,570 "	--	--	--
"California State Univ., San Diego (San Diego, CA) "	"$401,227 "	$660 	"$2,268 "	$75 	"$17,937 "	$0 	"$59,052 "	"$138,947 "	"$172,151 "	"$828,339 "	4.30%	4.70%	4.10%	37.40%	--	"144,635"	"6,223"	"$1,160,700 "	"5,160"	"$2,531,060 "	5	--	"5,165"	--	"$7,408,780 "	"$13,295 "	"$5,662,420 "	"$25,000 "	"$5,314,180 "	"$724,005 "	"$7,171,300 "	"$1,767,310 "	"$24,510,200 "	--	"$39,634,800 "	--	--	--
"Central Michigan University (Mt. Pleasant, MI) "	"$293,988 "	$0 	"$22,568 "	"$150,406 "	"$1,657 "	$525 	"$36,471 "	"$288,373 "	"$326,234 "	"$1,207,790 "	10.10%	11.60%	8.30%	--	--	"124,388"	"12,590"	"$1,999,680 "	"1,760"	"$537,532 "	87	--	"1,847"	--	"$1,305,100 "	"$10,173 "	"$939,497 "	$0 	"$364,870 "	"$146,598 "	"$939,002 "	"$537,532 "	"$3,963,040 "	--	"$6,605,540 "	--	--	--
"Clemson University (Clemson, SC) "	"$113,734 "	$0 	$0 	$0 	$0 	$0 	$0 	$0 	"$1,358,360 "	"$1,949,250 "	17.40%	--	15.00%	100.00%	--	"83,071"	"14,413"	"$8,510,460 "	--	"$7,197,500 "	--	--	--	--	"$56,109,900 "	"$24,657 "	"$2,781,200 "	$0 	"$1,664,830 "	$0 	"$2,687,490 "	$0 	"$15,575,100 "	--	"$82,929,400 "	--	--	--
