Public Research/Doctoral / FY2009 																																						
Institution	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Current	  Alumni Participation 	  Undergraduate	  Alumni Donors	  Percentage	  Alumni Giving	  # Alumni of	  # Alumni Donors 	  Alumni: Total	  Athletics/Curr	  Athletics/Curr	  Athletics/Cap	  Athletics/Cap	  Athletics/Total:	  Athletics/Total	  Corporations:	  Expenditures	  Foundations:	  Foundations:	  Foundations:	  Corporations:	  Corporations:	  Total Curr	  Total Current	  Grand Total	  Grand Total	  Parents (incl.	  Parents (incl.	  Parents (incl.
	Ops/Academic	Ops/Fac-Staff	Ops/Research 	Ops/Pub Serv	Ops/Libraries 	Ops/Physical	Ops/Student	Ops/Athletics 	Ops/Other Purposes 	Operations		Alumni Participation 	for Current	of Alumni Solicited 	as a Percentage	Record 		"Giving ($,"	Ops: Donors	Ops: Total	Purp: Donors	Purp (PV):	Donors (#) 	(PV): Total	Total 	Per Student 	Total 	Curr Ops/Athletics 	Current Operations	Curr Ops/Athletics 	Current Operations	Ops/Athletics 	Operations 	(2004 and after) 	(2003 and earlier) 	Grandp) - Curr	Grandp) - Curr	Grandp) - Curr
	Divisions 	Comp 		& Ext 		Plant O&M 	Aid 			Total 			Ops. as % of		of Total Giving 			from Details) 	(#) 	Amount ($) 	(#) 	Total Amount		Amount ($) 					Total 		Total 					Ops Solicited	Ops Donors	Ops ($ Details) 
													# of Record 									($) 														(#) 	(#) 	
"Arizona State University Foundation (Tempe, AZ) "	"$719,748 "	"$27,725 "	"$25,236 "	"$68,185 "	"$13,352 "	"$90,102 "	"$554,193 "	"$4,538,556 "	"$736,762 "	"$7,056,246 "	3.00%	2.60%	2.90%	71.50%	5.30%	"459,310"	"13,664"	"$8,443,138 "	0	$0 	0	$0 	0	$0 	"$69,252,921 "	"$21,255 "	"$51,428,416 "	"$551,461 "	"$39,984,272 "	"$1,540,748 "	"$16,209,768 "	"$10,872,471 "	"$88,050,111 "	"$158,171,633 "	"$158,171,633 "	--	--	--
"Auburn University (Auburn, AL) "	"$3,337,326 "	"$75,810 "	"$9,215 "	"$145,558 "	"$119,237 "	"$1,669 "	"$3,886,874 "	"$6,516,855 "	"$531,518 "	"$15,622,201 "	11.00%	11.70%	10.70%	98.10%	36.40%	"209,833"	"23,158"	"$22,508,994 "	--	--	--	--	--	--	"$19,150,699 "	"$28,980 "	"$10,818,388 "	"$389,304 "	"$4,383,793 "	"$3,054,108 "	"$11,179,899 "	"$12,412,959 "	"$36,755,722 "	"$61,841,441 "	"$62,027,925 "	--	--	--
"Ball State University (Muncie, IN) "	"$381,782 "	"$1,200 "	$882 	"$159,008 "	"$12,225 "	$0 	"$356,991 "	"$464,925 "	"$363,029 "	"$2,847,987 "	11.00%	11.30%	8.60%	90.90%	26.40%	"151,160"	"16,554"	"$4,450,216 "	"3,002"	"$1,124,933 "	341	"$1,948,080 "	"3,343"	"$3,073,013 "	"$2,921,809 "	"$18,255 "	"$5,046,653 "	"$8,000 "	"$2,496,303 "	"$360,550 "	"$2,157,898 "	"$1,124,933 "	"$10,447,038 "	"$16,861,715 "	"$16,861,715 "	--	--	--
"Bowling Green State University (Bowling Green, OH) "	"$589,108 "	"$69,633 "	"$1,865 "	"$268,985 "	"$51,199 "	$0 	"$988,978 "	"$497,302 "	"$194,207 "	"$3,136,619 "	8.50%	--	8.50%	82.10%	48.70%	"153,761"	"13,067"	"$8,179,555 "	--	--	--	--	--	--	"$931,948 "	"$16,046 "	"$2,790,295 "	"$2,480 "	"$2,398,731 "	"$157,171 "	"$884,190 "	"$883,733 "	"$9,081,121 "	"$16,808,332 "	"$16,964,917 "	--	--	--
"California State Univ., San Diego (San Diego, CA) "	"$597,367 "	"$45,345 "	"$100,300 "	$0 	"$277,418 "	$50 	"$74,227 "	"$1,667,128 "	"$281,505 "	"$3,069,151 "	2.40%	2.50%	2.40%	48.60%	21.50%	"243,387"	"5,838"	"$10,559,680 "	"2,347"	"$3,260,618 "	5	"$3,600 "	"2,352"	"$3,264,218 "	"$6,063,086 "	"$16,270 "	"$13,845,954 "	"$124,925 "	"$12,458,267 "	"$463,776 "	"$5,566,736 "	"$3,260,618 "	"$37,369,821 "	"$49,174,846 "	"$50,028,226 "	--	--	--
"Central Michigan University (Mt. Pleasant, MI) "	"$547,813 "	$0 	"$42,468 "	"$197,893 "	"$100,064 "	$327 	"$62,803 "	"$612,215 "	"$135,646 "	"$1,736,870 "	6.90%	7.90%	6.40%	52.30%	22.00%	"176,912"	"12,131"	"$2,945,702 "	"2,025"	"$1,147,980 "	27	"$20,328 "	"2,052"	"$1,168,308 "	"$5,160,395 "	"$10,971 "	"$1,891,764 "	"$1,000 "	"$1,120,314 "	"$272,527 "	"$2,614,125 "	"$1,112,863 "	"$8,256,004 "	"$13,418,292 "	"$13,443,609 "	--	--	--
"Clemson University (Clemson, SC) "	--	--	--	--	--	--	--	--	--	"$4,134,076 "	22.80%	--	--	100.00%	17.50%	"101,190"	"23,070"	"$5,547,944 "	--	--	"15,182"	"$19,032,390 "	"15,182"	"$19,032,390 "	"$10,373,841 "	"$29,827 "	"$6,979,150 "	--	"$4,329,018 "	--	"$4,151,226 "	--	"$16,857,616 "	"$31,701,354 "	"$31,713,850 "	--	--	--
