Private Research/Doctoral / FY2001 																																						
Institution	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Current	  Alumni Participation 	  Undergraduate	  Alumni Donors	  Percentage	  Alumni Giving	  # Alumni of	  # Alumni Donors 	  Alumni: Total	  Athletics/Curr	  Athletics/Curr	  Athletics/Cap	  Athletics/Cap	  Athletics/Total:	  Athletics/Total	  Corporations:	  Expenditures	  Foundations:	  Foundations:	  Foundations:	  Corporations:	  Corporations:	  Total Curr	  Total Current	  Grand Total	  Grand Total	  Parents (incl.	  Parents (incl.	  Parents (incl.
	Ops/Academic	Ops/Fac-Staff	Ops/Research 	Ops/Pub Serv	Ops/Libraries 	Ops/Physical	Ops/Student	Ops/Athletics 	Ops/Other Purposes 	Operations		Alumni Participation 	for Current	of Alumni Solicited 	as a Percentage	Record 		"Giving ($,"	Ops: Donors	Ops: Total	Purp: Donors	Purp (PV):	Donors (#) 	(PV): Total	Total 	Per Student 	Total 	Curr Ops/Athletics 	Current Operations	Curr Ops/Athletics 	Current Operations	Ops/Athletics 	Operations 	(2004 and after) 	(2003 and earlier) 	Grandp) - Curr	Grandp) - Curr	Grandp) - Curr
	Divisions 	Comp 		& Ext 		Plant O&M 	Aid 			Total 			Ops. as % of		of Total Giving 			from Details) 	(#) 	Amount ($) 	(#) 	Total Amount		Amount ($) 					Total 		Total 					Ops Solicited	Ops Donors	Ops ($ Details) 
													# of Record 									($) 														(#) 	(#) 	
"Adelphi University (Garden City, NY) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"American University (Washington, DC) "	"$1,074,102 "	$0 	$0 	"$43,634 "	"$23,897 "	$0 	"$158,533 "	"$29,188 "	"$19,549 "	"$1,936,477 "	10.00%	10.60%	9.90%	93.20%	--	"73,769"	"7,342"	"$2,945,073 "	0	$0 	0	--	--	--	"$2,038,904 "	"$16,861 "	"$992,153 "	"$1,000 "	"$149,178 "	"$11,300 "	"$585,267 "	"$56,592 "	"$6,370,041 "	--	"$12,250,387 "	--	--	--
"Andrews University (Berrien Springs, MI) "	"$197,928 "	$0 	$825 	"$36,138 "	"$1,178 "	$200 	"$166,477 "	$0 	$50 	"$537,403 "	13.30%	--	--	49.00%	--	"26,517"	"3,522"	"$825,159 "	--	--	--	--	--	--	"$871,485 "	"$24,623 "	"$707,737 "	$0 	"$705,737 "	$0 	"$263,502 "	$0 	"$8,696,652 "	--	"$10,307,895 "	--	--	--
"Azusa Pacific University (Azusa, CA) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Barry University (Miami Shores, FL) "	"$6,716 "	$0 	$0 	$0 	"$4,530 "	$0 	$0 	"$2,004 "	"$60,413 "	"$363,186 "	12.10%	13.10%	12.10%	100.00%	--	"23,436"	"2,839"	"$371,346 "	20	"$16,719 "	--	--	--	--	"$295,946 "	"$9,600 "	"$2,179,959 "	$0 	"$2,157,959 "	"$13,215 "	"$238,341 "	"$16,719 "	"$3,504,083 "	--	"$9,746,209 "	--	--	--
"Baylor University (Waco, TX) "	"$1,090,244 "	"$60,560 "	"$1,190 "	$0 	"$65,295 "	"$6,709 "	"$1,653,688 "	"$1,005,615 "	"$879,951 "	"$8,630,773 "	20.90%	24.10%	5.00%	100.00%	--	"86,246"	"18,028"	"$27,953,590 "	905	"$3,211,202 "	77	--	--	--	"$3,222,974 "	"$12,570 "	"$9,454,754 "	"$48,525 "	"$4,972,691 "	"$247,384 "	"$1,361,056 "	"$1,548,698 "	"$22,584,834 "	--	"$52,926,569 "	--	--	--
"Biola University (La Mirada, CA) "	"$178,012 "	$0 	$0 	$0 	"$5,278 "	$0 	"$46,478 "	$0 	"$64,739 "	"$755,267 "	7.50%	--	5.60%	90.90%	--	"25,580"	"1,906"	"$1,306,222 "	--	--	--	--	--	--	"$620,830 "	"$10,764 "	"$1,545,417 "	$0 	"$1,184,394 "	$0 	"$399,102 "	$0 	"$4,819,526 "	--	"$10,057,352 "	--	--	--
