Private Research/Doctoral / FY2006 																																						
Institution	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Current	  Alumni Participation 	  Undergraduate	  Alumni Donors	  Percentage	  Alumni Giving	  # Alumni of	  # Alumni Donors 	  Alumni: Total	  Athletics/Curr	  Athletics/Curr	  Athletics/Cap	  Athletics/Cap	  Athletics/Total:	  Athletics/Total	  Corporations:	  Expenditures	  Foundations:	  Foundations:	  Foundations:	  Corporations:	  Corporations:	  Total Curr	  Total Current	  Grand Total	  Grand Total	  Parents (incl.	  Parents (incl.	  Parents (incl.
	Ops/Academic	Ops/Fac-Staff	Ops/Research 	Ops/Pub Serv	Ops/Libraries 	Ops/Physical	Ops/Student	Ops/Athletics 	Ops/Other Purposes 	Operations		Alumni Participation 	for Current	of Alumni Solicited 	as a Percentage	Record 		"Giving ($,"	Ops: Donors	Ops: Total	Purp: Donors	Purp (PV):	Donors (#) 	(PV): Total	Total 	Per Student 	Total 	Curr Ops/Athletics 	Current Operations	Curr Ops/Athletics 	Current Operations	Ops/Athletics 	Operations 	(2004 and after) 	(2003 and earlier) 	Grandp) - Curr	Grandp) - Curr	Grandp) - Curr
	Divisions 	Comp 		& Ext 		Plant O&M 	Aid 			Total 			Ops. as % of		of Total Giving 			from Details) 	(#) 	Amount ($) 	(#) 	Total Amount		Amount ($) 					Total 		Total 					Ops Solicited	Ops Donors	Ops ($ Details) 
													# of Record 									($) 														(#) 	(#) 	
"Adelphi University (Garden City, NY) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"American University (Washington, DC) "	"$1,302,082 "	$288 	"$3,560 "	"$124,341 "	"$31,648 "	$0 	"$280,980 "	"$441,904 "	"$6,377,552 "	"$8,696,356 "	15.00%	14.60%	11.30%	97.40%	50.40%	"84,711"	"12,707"	"$10,347,062 "	--	--	--	--	--	--	"$794,142 "	"$26,098 "	"$256,790 "	$0 	"$196,790 "	"$15,834 "	"$776,900 "	"$540,883 "	"$14,448,736 "	"$20,538,027 "	"$20,538,027 "	--	--	--
"Andrews University (Berrien Springs, MI) "	"$209,956 "	$0 	$650 	"$46,380 "	"$24,153 "	"$1,000 "	"$30,460 "	$0 	"$380,261 "	"$995,175 "	11.10%	--	--	43.90%	14.50%	"27,317"	"3,031"	"$2,253,562 "	--	--	--	--	--	--	"$278,388 "	"$21,779 "	"$101,603 "	$0 	"$91,603 "	$0 	"$251,227 "	$0 	"$13,744,078 "	"$15,502,937 "	"$15,502,937 "	--	--	--
"Azusa Pacific University (Azusa, CA) "	"$19,270 "	$0 	$300 	"$35,082 "	$0 	$0 	"$12,613 "	"$16,535 "	"$14,998 "	"$325,031 "	3.30%	--	49.20%	49.20%	5.00%	"32,740"	"1,096"	"$495,397 "	417	"$211,645 "	3	"$87,159 "	420	"$298,804 "	"$633,208 "	"$18,824 "	"$2,319,951 "	"$2,227 "	"$1,699,921 "	"$41,086 "	"$582,563 "	"$224,770 "	"$4,756,484 "	"$9,901,416 "	"$9,901,416 "	--	--	--
"Barry University (Miami Shores, FL) "	"$15,898 "	$0 	$0 	"$1,620 "	"$6,278 "	$0 	"$37,397 "	"$1,572 "	"$17,232 "	"$293,095 "	10.20%	10.00%	7.60%	100.00%	8.90%	"37,644"	"3,843"	"$358,591 "	350	"$51,121 "	--	--	350	"$51,121 "	"$890,522 "	"$16,499 "	"$1,984,283 "	$300 	"$499,283 "	"$28,660 "	"$582,120 "	"$66,122 "	"$1,831,377 "	"$4,017,172 "	"$4,017,172 "	--	--	--
"Baylor University (Waco, TX) "	"$414,984 "	"$66,065 "	"$1,468 "	"$3,000 "	"$72,189 "	"$9,125 "	"$2,061,645 "	"$1,522,989 "	"$842,311 "	"$5,227,420 "	24.80%	33.90%	22.80%	84.20%	57.60%	"123,908"	"30,699"	"$27,123,051 "	"1,314"	"$4,619,217 "	963	"$7,201,524 "	"2,277"	"$11,820,741 "	"$4,629,350 "	"$24,781 "	"$4,220,907 "	"$48,605 "	"$1,944,174 "	"$220,638 "	"$1,730,725 "	"$2,453,523 "	"$15,069,652 "	"$47,073,691 "	"$47,448,087 "	--	--	--
"Biola University (La Mirada, CA) "	"$137,006 "	$0 	$0 	$0 	"$4,163 "	$0 	"$27,277 "	"$36,320 "	"$102,456 "	"$683,057 "	5.10%	--	1.30%	75.40%	11.00%	"44,170"	"2,256"	"$1,192,615 "	452	"$122,536 "	0	$0 	452	"$122,536 "	"$4,819,824 "	"$13,408 "	"$791,059 "	$331 	"$626,620 "	"$72,485 "	"$316,200 "	"$202,819 "	"$3,780,517 "	"$10,841,296 "	"$11,401,231 "	--	--	--
