Private Research/Doctoral / FY2004 																																						
Institution	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Current	  Alumni Participation 	  Undergraduate	  Alumni Donors	  Percentage	  Alumni Giving	  # Alumni of	  # Alumni Donors 	  Alumni: Total	  Athletics/Curr	  Athletics/Curr	  Athletics/Cap	  Athletics/Cap	  Athletics/Total:	  Athletics/Total	  Corporations:	  Expenditures	  Foundations:	  Foundations:	  Foundations:	  Corporations:	  Corporations:	  Total Curr	  Total Current	  Grand Total	  Grand Total	  Parents (incl.	  Parents (incl.	  Parents (incl.
	Ops/Academic	Ops/Fac-Staff	Ops/Research 	Ops/Pub Serv	Ops/Libraries 	Ops/Physical	Ops/Student	Ops/Athletics 	Ops/Other Purposes 	Operations		Alumni Participation 	for Current	of Alumni Solicited 	as a Percentage	Record 		"Giving ($,"	Ops: Donors	Ops: Total	Purp: Donors	Purp (PV):	Donors (#) 	(PV): Total	Total 	Per Student 	Total 	Curr Ops/Athletics 	Current Operations	Curr Ops/Athletics 	Current Operations	Ops/Athletics 	Operations 	(2004 and after) 	(2003 and earlier) 	Grandp) - Curr	Grandp) - Curr	Grandp) - Curr
	Divisions 	Comp 		& Ext 		Plant O&M 	Aid 			Total 			Ops. as % of		of Total Giving 			from Details) 	(#) 	Amount ($) 	(#) 	Total Amount		Amount ($) 					Total 		Total 					Ops Solicited	Ops Donors	Ops ($ Details) 
													# of Record 									($) 														(#) 	(#) 	
"Adelphi University (Garden City, NY) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"American University (Washington, DC) "	"$1,468,705 "	$0 	$0 	"$121,412 "	"$163,792 "	"$4,000 "	"$110,475 "	"$278,610 "	"$2,032,292 "	"$4,384,045 "	16.00%	17.10%	13.90%	92.40%	36.10%	"79,702"	"12,718"	"$6,486,027 "	--	--	--	--	--	--	"$259,740 "	"$24,401 "	"$485,543 "	"$2,000 "	"$165,043 "	"$3,050 "	"$235,171 "	"$320,353 "	"$10,152,800 "	"$17,943,882 "	"$17,943,882 "	--	--	--
"Andrews University (Berrien Springs, MI) "	"$710,839 "	$0 	$950 	"$52,486 "	"$4,452 "	$100 	"$42,089 "	$0 	"$169,916 "	"$2,005,921 "	13.50%	--	--	79.60%	15.70%	"27,241"	"3,678"	"$2,299,249 "	--	--	--	--	--	--	"$692,774 "	"$22,277 "	"$361,894 "	$0 	"$353,894 "	$0 	"$485,731 "	$0 	"$13,974,730 "	"$14,614,527 "	"$14,622,206 "	--	--	--
"Azusa Pacific University (Azusa, CA) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Barry University (Miami Shores, FL) "	"$37,690 "	$0 	$0 	$175 	"$5,200 "	$0 	"$26,932 "	"$6,890 "	"$66,687 "	"$822,070 "	9.40%	9.50%	9.40%	67.80%	14.10%	"36,408"	"3,407"	"$829,113 "	0	$0 	0	$0 	0	$0 	"$665,595 "	"$12,071 "	"$3,972,578 "	$300 	"$2,551,029 "	"$11,800 "	"$626,584 "	"$27,369 "	"$4,389,696 "	"$5,869,505 "	"$5,869,505 "	--	--	--
"Baylor University (Waco, TX) "	"$386,202 "	"$58,993 "	"$15,718 "	$600 	"$120,061 "	"$4,175 "	"$1,577,115 "	"$1,023,016 "	"$301,773 "	"$4,107,327 "	19.80%	24.20%	9.70%	100.00%	44.90%	"105,232"	"20,829"	"$16,475,850 "	"1,189"	"$3,112,095 "	49	"$421,052 "	"1,238"	"$3,533,147 "	"$2,708,535 "	"$16,919 "	"$4,293,093 "	"$33,500 "	"$1,251,014 "	"$192,968 "	"$1,394,864 "	"$1,619,572 "	"$14,291,716 "	"$36,730,938 "	"$37,422,787 "	--	--	--
"Biola University (La Mirada, CA) "	"$301,622 "	$0 	$0 	$0 	"$11,226 "	$0 	"$47,263 "	$0 	"$93,069 "	"$577,510 "	5.30%	--	5.20%	92.30%	13.00%	"34,586"	"1,816"	"$856,646 "	"1,519"	"$995,399 "	--	--	"1,519"	"$995,399 "	"$484,723 "	"$12,229 "	"$1,010,201 "	$0 	"$437,771 "	$0 	"$377,791 "	$0 	"$3,964,189 "	"$6,599,623 "	"$8,211,587 "	--	--	--
