Private Research/Doctoral / FY2000 																																						
Institution	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Current	  Alumni Participation 	  Undergraduate	  Alumni Donors	  Percentage	  Alumni Giving	  # Alumni of	  # Alumni Donors 	  Alumni: Total	  Athletics/Curr	  Athletics/Curr	  Athletics/Cap	  Athletics/Cap	  Athletics/Total:	  Athletics/Total	  Corporations:	  Expenditures	  Foundations:	  Foundations:	  Foundations:	  Corporations:	  Corporations:	  Total Curr	  Total Current	  Grand Total	  Grand Total	  Parents (incl.	  Parents (incl.	  Parents (incl.
	Ops/Academic	Ops/Fac-Staff	Ops/Research 	Ops/Pub Serv	Ops/Libraries 	Ops/Physical	Ops/Student	Ops/Athletics 	Ops/Other Purposes 	Operations		Alumni Participation 	for Current	of Alumni Solicited 	as a Percentage	Record 		"Giving ($,"	Ops: Donors	Ops: Total	Purp: Donors	Purp (PV):	Donors (#) 	(PV): Total	Total 	Per Student 	Total 	Curr Ops/Athletics 	Current Operations	Curr Ops/Athletics 	Current Operations	Ops/Athletics 	Operations 	(2004 and after) 	(2003 and earlier) 	Grandp) - Curr	Grandp) - Curr	Grandp) - Curr
	Divisions 	Comp 		& Ext 		Plant O&M 	Aid 			Total 			Ops. as % of		of Total Giving 			from Details) 	(#) 	Amount ($) 	(#) 	Total Amount		Amount ($) 					Total 		Total 					Ops Solicited	Ops Donors	Ops ($ Details) 
													# of Record 									($) 														(#) 	(#) 	
"Adelphi University (Garden City, NY) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"American University (Washington, DC) "	"$408,548 "	$0 	$0 	"$36,382 "	"$29,571 "	$565 	"$134,308 "	"$37,124 "	"$773,118 "	"$1,785,420 "	9.40%	9.80%	--	93.10%	--	"74,276"	"6,997"	"$2,553,980 "	--	--	--	--	--	--	"$1,026,690 "	"$15,992 "	"$406,800 "	"$3,500 "	"$180,800 "	"$9,048 "	"$377,671 "	"$67,610 "	"$6,223,440 "	--	"$9,168,850 "	--	--	--
"Andrews University (Berrien Springs, MI) "	"$171,224 "	$0 	$450 	"$40,454 "	"$3,462 "	"$18,500 "	"$149,541 "	$0 	$0 	"$538,817 "	12.10%	--	9.60%	47.70%	--	"27,245"	"3,303"	"$1,242,503 "	--	--	--	--	--	--	"$818,455 "	"$23,281 "	"$147,448 "	$0 	"$125,948 "	$0 	"$689,974 "	$0 	"$2,273,052 "	--	"$4,349,505 "	--	--	--
"Azusa Pacific University (Azusa, CA) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Barry University (Miami Shores, FL) "	"$6,055 "	$0 	$0 	$0 	$0 	$0 	"$36,205 "	$0 	$320 	"$163,352 "	8.70%	--	96.00%	96.00%	--	"31,823"	"2,766"	"$217,733 "	--	--	--	--	--	--	"$361,258 "	"$9,065 "	"$847,739 "	$0 	"$847,739 "	$0 	"$359,453 "	"$1,650 "	"$1,424,130 "	--	"$1,497,510 "	--	--	--
"Baylor University (Waco, TX) "	"$394,862 "	"$40,920 "	"$106,475 "	$500 	"$76,732 "	"$8,900 "	"$2,500,970 "	"$591,502 "	"$969,358 "	"$5,565,580 "	18.10%	20.80%	5.10%	100.00%	--	"84,609"	"15,277"	"$18,973,300 "	980	"$3,051,870 "	105	--	"1,085"	--	"$4,286,620 "	"$12,033 "	"$2,735,470 "	"$60,750 "	"$1,303,340 "	"$162,074 "	"$1,564,710 "	"$967,838 "	"$18,807,300 "	--	"$57,661,400 "	--	--	--
"Biola University (La Mirada, CA) "	"$177,898 "	$0 	$0 	$0 	"$6,972 "	$0 	"$25,489 "	$0 	"$60,243 "	"$925,105 "	10.20%	--	9.20%	90.80%	--	"24,769"	"2,532"	"$1,523,130 "	542	"$162,302 "	0	--	542	--	"$698,774 "	"$10,329 "	"$2,320,610 "	$0 	"$1,758,850 "	$0 	"$398,383 "	$0 	"$5,362,290 "	--	"$10,268,000 "	--	--	--
