Private Research/Doctoral / FY2008 																																						
Institution	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Current	  Alumni Participation 	  Undergraduate	  Alumni Donors	  Percentage	  Alumni Giving	  # Alumni of	  # Alumni Donors 	  Alumni: Total	  Athletics/Curr	  Athletics/Curr	  Athletics/Cap	  Athletics/Cap	  Athletics/Total:	  Athletics/Total	  Corporations:	  Expenditures	  Foundations:	  Foundations:	  Foundations:	  Corporations:	  Corporations:	  Total Curr	  Total Current	  Grand Total	  Grand Total	  Parents (incl.	  Parents (incl.	  Parents (incl.
	Ops/Academic	Ops/Fac-Staff	Ops/Research 	Ops/Pub Serv	Ops/Libraries 	Ops/Physical	Ops/Student	Ops/Athletics 	Ops/Other Purposes 	Operations		Alumni Participation 	for Current	of Alumni Solicited 	as a Percentage	Record 		"Giving ($,"	Ops: Donors	Ops: Total	Purp: Donors	Purp (PV):	Donors (#) 	(PV): Total	Total 	Per Student 	Total 	Curr Ops/Athletics 	Current Operations	Curr Ops/Athletics 	Current Operations	Ops/Athletics 	Operations 	(2004 and after) 	(2003 and earlier) 	Grandp) - Curr	Grandp) - Curr	Grandp) - Curr
	Divisions 	Comp 		& Ext 		Plant O&M 	Aid 			Total 			Ops. as % of		of Total Giving 			from Details) 	(#) 	Amount ($) 	(#) 	Total Amount		Amount ($) 					Total 		Total 					Ops Solicited	Ops Donors	Ops ($ Details) 
													# of Record 									($) 														(#) 	(#) 	
"Adelphi University (Garden City, NY) "	$0 	$0 	$0 	$0 	$0 	$0 	$0 	$0 	"$29,121 "	"$388,059 "	5.50%	--	3.60%	94.30%	37.90%	"83,811"	"4,646"	"$1,234,609 "	--	--	--	--	--	--	"$307,483 "	"$16,488 "	"$727,535 "	$0 	"$333,215 "	$0 	"$91,023 "	$0 	"$936,342 "	"$3,253,595 "	"$3,359,749 "	--	--	--
"American University (Washington, DC) "	"$2,117,688 "	"$6,385 "	"$1,500 "	"$147,845 "	"$48,023 "	$0 	"$362,608 "	"$271,560 "	"$150,538 "	"$3,318,902 "	12.60%	12.20%	11.10%	89.00%	37.60%	"76,509"	"9,604"	"$6,380,967 "	--	--	--	--	--	--	"$2,127,750 "	"$30,500 "	"$661,479 "	"$2,000 "	"$255,479 "	"$21,420 "	"$2,102,425 "	"$399,870 "	"$11,466,987 "	"$16,987,795 "	"$16,987,795 "	--	--	--
"Andrews University (Berrien Springs, MI) "	"$490,959 "	$0 	"$3,931 "	"$36,749 "	"$6,616 "	$278 	"$32,596 "	$0 	"$124,843 "	"$1,038,378 "	9.40%	--	8.80%	20.00%	42.50%	"33,005"	"3,107"	"$2,404,973 "	--	--	--	--	--	--	"$2,419,844 "	"$22,592 "	"$69,919 "	$0 	"$53,355 "	$0 	"$2,330,480 "	$0 	"$3,919,560 "	"$5,657,858 "	"$5,657,858 "	--	--	--
"Azusa Pacific University (Azusa, CA) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Barry University (Miami Shores, FL) "	"$11,871 "	$0 	$0 	"$1,200 "	"$4,833 "	$0 	"$80,298 "	"$16,144 "	"$14,019 "	"$259,197 "	4.70%	4.60%	4.50%	100.00%	8.00%	"36,596"	"1,715"	"$294,263 "	--	--	--	--	--	--	"$1,522,469 "	"$15,684 "	"$746,700 "	$300 	"$406,700 "	"$42,131 "	"$1,422,806 "	"$88,993 "	"$3,152,231 "	"$3,698,988 "	"$3,698,988 "	--	--	--
"Baylor University (Waco, TX) "	"$696,826 "	"$65,980 "	"$16,215 "	$0 	"$85,277 "	"$9,635 "	"$239,972 "	"$3,800,855 "	"$263,738 "	"$5,606,678 "	6.80%	8.70%	5.90%	59.10%	43.20%	"130,236"	"8,800"	"$19,879,317 "	"3,093"	"$9,351,355 "	41	"$648,933 "	"3,134"	"$10,000,288 "	"$4,700,004 "	"$32,733 "	"$9,570,393 "	"$19,050 "	"$3,129,714 "	"$768,827 "	"$2,722,884 "	"$5,798,808 "	"$18,278,472 "	"$45,988,789 "	"$52,249,430 "	--	--	--
"Biola University (La Mirada, CA) "	"$122,705 "	$121 	"$3,849 "	"$117,403 "	"$25,289 "	$0 	"$103,982 "	"$55,497 "	"$143,260 "	"$902,812 "	4.90%	--	4.50%	98.80%	10.10%	"38,408"	"1,887"	"$1,168,138 "	0	$0 	0	$0 	0	$0 	"$2,746,913 "	"$15,562 "	"$1,649,183 "	$0 	"$535,339 "	"$152,855 "	"$642,142 "	"$307,191 "	"$5,395,325 "	"$11,598,303 "	"$12,048,770 "	--	--	--
