Private Research/Doctoral / FY2007 																																						
Institution	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Current	  Alumni Participation 	  Undergraduate	  Alumni Donors	  Percentage	  Alumni Giving	  # Alumni of	  # Alumni Donors 	  Alumni: Total	  Athletics/Curr	  Athletics/Curr	  Athletics/Cap	  Athletics/Cap	  Athletics/Total:	  Athletics/Total	  Corporations:	  Expenditures	  Foundations:	  Foundations:	  Foundations:	  Corporations:	  Corporations:	  Total Curr	  Total Current	  Grand Total	  Grand Total	  Parents (incl.	  Parents (incl.	  Parents (incl.
	Ops/Academic	Ops/Fac-Staff	Ops/Research 	Ops/Pub Serv	Ops/Libraries 	Ops/Physical	Ops/Student	Ops/Athletics 	Ops/Other Purposes 	Operations		Alumni Participation 	for Current	of Alumni Solicited 	as a Percentage	Record 		"Giving ($,"	Ops: Donors	Ops: Total	Purp: Donors	Purp (PV):	Donors (#) 	(PV): Total	Total 	Per Student 	Total 	Curr Ops/Athletics 	Current Operations	Curr Ops/Athletics 	Current Operations	Ops/Athletics 	Operations 	(2004 and after) 	(2003 and earlier) 	Grandp) - Curr	Grandp) - Curr	Grandp) - Curr
	Divisions 	Comp 		& Ext 		Plant O&M 	Aid 			Total 			Ops. as % of		of Total Giving 			from Details) 	(#) 	Amount ($) 	(#) 	Total Amount		Amount ($) 					Total 		Total 					Ops Solicited	Ops Donors	Ops ($ Details) 
													# of Record 									($) 														(#) 	(#) 	
"Adelphi University (Garden City, NY) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"American University (Washington, DC) "	"$2,671,420 "	"$2,574 "	"$1,000 "	"$133,916 "	"$49,224 "	$0 	"$478,570 "	"$282,959 "	"$339,191 "	"$4,108,026 "	13.90%	13.60%	12.50%	97.60%	51.20%	"74,574"	"10,331"	"$8,232,201 "	--	--	--	--	--	--	"$1,102,193 "	"$27,703 "	"$521,575 "	"$17,000 "	"$436,225 "	"$29,055 "	"$942,710 "	"$427,870 "	"$10,774,664 "	"$16,074,161 "	"$16,074,161 "	--	--	--
"Andrews University (Berrien Springs, MI) "	--	--	--	--	--	--	--	--	--	--	9.20%	--	--	100.00%	10.60%	"26,001"	"2,391"	--	--	--	--	--	--	--	"$582,897 "	"$22,512 "	"$158,650 "	--	--	--	--	--	"$9,084,299 "	"$12,236,659 "	"$12,236,659 "	--	--	--
"Azusa Pacific University (Azusa, CA) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Barry University (Miami Shores, FL) "	"$15,898 "	$0 	$0 	"$1,620 "	"$6,278 "	$0 	"$37,397 "	"$1,571 "	"$17,232 "	"$293,094 "	5.30%	5.50%	--	69.50%	5.10%	"47,574"	"2,536"	"$358,590 "	--	--	--	--	--	--	"$1,229,683 "	"$15,509 "	"$4,290,844 "	$0 	"$2,760,844 "	"$25,733 "	"$429,152 "	"$46,247 "	"$4,312,514 "	"$7,032,726 "	"$7,032,726 "	--	--	--
"Baylor University (Waco, TX) "	"$882,982 "	"$73,530 "	"$5,500 "	"$40,250 "	"$148,250 "	"$9,220 "	"$1,889,079 "	"$1,815,169 "	"$157,167 "	"$5,297,345 "	6.60%	8.50%	5.80%	100.00%	47.70%	"127,871"	"8,441"	"$23,335,198 "	"1,259"	"$5,425,028 "	67	"$775,515 "	"1,326"	"$6,200,543 "	"$7,112,249 "	"$29,138 "	"$6,245,787 "	"$135,020 "	"$3,817,482 "	"$602,565 "	"$2,112,294 "	"$3,132,587 "	"$18,637,047 "	"$48,929,365 "	"$49,308,678 "	--	--	--
"Biola University (La Mirada, CA) "	"$225,115 "	$93 	"$1,143 "	"$77,133 "	"$4,669 "	$0 	"$93,276 "	"$39,771 "	"$42,525 "	"$1,179,237 "	5.40%	--	5.20%	97.90%	12.90%	"38,403"	"2,084"	"$1,390,592 "	--	--	--	--	--	--	"$2,129,705 "	"$14,103 "	"$1,513,486 "	$0 	"$722,620 "	"$95,728 "	"$495,124 "	"$259,346 "	"$5,772,644 "	"$10,791,676 "	"$11,117,250 "	--	--	--
