Private Research/Doctoral / FY1999 																																						
Institution	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Current	  Alumni Participation 	  Undergraduate	  Alumni Donors	  Percentage	  Alumni Giving	  # Alumni of	  # Alumni Donors 	  Alumni: Total	  Athletics/Curr	  Athletics/Curr	  Athletics/Cap	  Athletics/Cap	  Athletics/Total:	  Athletics/Total	  Corporations:	  Expenditures	  Foundations:	  Foundations:	  Foundations:	  Corporations:	  Corporations:	  Total Curr	  Total Current	  Grand Total	  Grand Total	  Parents (incl.	  Parents (incl.	  Parents (incl.
	Ops/Academic	Ops/Fac-Staff	Ops/Research 	Ops/Pub Serv	Ops/Libraries 	Ops/Physical	Ops/Student	Ops/Athletics 	Ops/Other Purposes 	Operations		Alumni Participation 	for Current	of Alumni Solicited 	as a Percentage	Record 		"Giving ($,"	Ops: Donors	Ops: Total	Purp: Donors	Purp (PV):	Donors (#) 	(PV): Total	Total 	Per Student 	Total 	Curr Ops/Athletics 	Current Operations	Curr Ops/Athletics 	Current Operations	Ops/Athletics 	Operations 	(2004 and after) 	(2003 and earlier) 	Grandp) - Curr	Grandp) - Curr	Grandp) - Curr
	Divisions 	Comp 		& Ext 		Plant O&M 	Aid 			Total 			Ops. as % of		of Total Giving 			from Details) 	(#) 	Amount ($) 	(#) 	Total Amount		Amount ($) 					Total 		Total 					Ops Solicited	Ops Donors	Ops ($ Details) 
													# of Record 									($) 														(#) 	(#) 	
"Adelphi University (Garden City, NY) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"American University (Washington, DC) "	"$338,215 "	$0 	$0 	$0 	"$11,525 "	$0 	"$237,840 "	"$78,402 "	"$19,806 "	"$1,065,770 "	9.80%	10.10%	--	100.00%	--	"69,096"	"6,767"	"$3,022,820 "	--	--	--	--	--	--	"$514,833 "	"$15,581 "	"$584,513 "	"$3,000 "	"$524,513 "	"$7,700 "	"$398,063 "	"$101,827 "	"$5,363,060 "	--	"$7,849,440 "	--	--	--
"Andrews University (Berrien Springs, MI) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Azusa Pacific University (Azusa, CA) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Barry University (Miami Shores, FL) "	"$10,995 "	$0 	$0 	$0 	"$4,726 "	$0 	"$17,175 "	$0 	$0 	"$163,088 "	10.80%	--	10.60%	100.00%	--	"23,313"	"2,517"	"$1,202,120 "	--	--	--	--	--	--	"$309,257 "	"$7,585 "	"$489,408 "	$0 	"$403,408 "	$0 	"$306,957 "	$0 	"$1,077,040 "	--	"$7,236,870 "	--	--	--
"Baylor University (Waco, TX) "	"$527,194 "	"$52,450 "	"$8,230 "	$0 	"$675,396 "	$170 	"$1,622,250 "	"$496,557 "	"$1,178,430 "	"$6,486,380 "	15.70%	17.40%	6.70%	100.00%	--	"88,945"	"13,981"	"$20,861,700 "	"1,020"	"$2,436,840 "	743	--	"1,763"	--	"$4,461,230 "	"$11,192 "	"$2,803,520 "	"$65,000 "	"$1,400,060 "	"$92,026 "	"$1,400,160 "	"$825,489 "	"$17,218,200 "	--	"$41,843,200 "	--	--	--
"Biola University (La Mirada, CA) "	"$114,245 "	$0 	$0 	$0 	"$2,769 "	$0 	"$38,310 "	$0 	"$66,842 "	"$503,211 "	9.50%	13.40%	9.40%	91.50%	--	"24,849"	"2,355"	"$1,292,720 "	686	"$216,939 "	0	--	686	--	"$415,069 "	"$10,452 "	"$3,325,170 "	$0 	"$2,199,160 "	$0 	"$282,825 "	$0 	"$4,523,460 "	--	"$11,212,700 "	--	--	--
