Private Research/Doctoral / FY2005 																																						
Institution	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Current	  Alumni Participation 	  Undergraduate	  Alumni Donors	  Percentage	  Alumni Giving	  # Alumni of	  # Alumni Donors 	  Alumni: Total	  Athletics/Curr	  Athletics/Curr	  Athletics/Cap	  Athletics/Cap	  Athletics/Total:	  Athletics/Total	  Corporations:	  Expenditures	  Foundations:	  Foundations:	  Foundations:	  Corporations:	  Corporations:	  Total Curr	  Total Current	  Grand Total	  Grand Total	  Parents (incl.	  Parents (incl.	  Parents (incl.
	Ops/Academic	Ops/Fac-Staff	Ops/Research 	Ops/Pub Serv	Ops/Libraries 	Ops/Physical	Ops/Student	Ops/Athletics 	Ops/Other Purposes 	Operations		Alumni Participation 	for Current	of Alumni Solicited 	as a Percentage	Record 		"Giving ($,"	Ops: Donors	Ops: Total	Purp: Donors	Purp (PV):	Donors (#) 	(PV): Total	Total 	Per Student 	Total 	Curr Ops/Athletics 	Current Operations	Curr Ops/Athletics 	Current Operations	Ops/Athletics 	Operations 	(2004 and after) 	(2003 and earlier) 	Grandp) - Curr	Grandp) - Curr	Grandp) - Curr
	Divisions 	Comp 		& Ext 		Plant O&M 	Aid 			Total 			Ops. as % of		of Total Giving 			from Details) 	(#) 	Amount ($) 	(#) 	Total Amount		Amount ($) 					Total 		Total 					Ops Solicited	Ops Donors	Ops ($ Details) 
													# of Record 									($) 														(#) 	(#) 	
"Adelphi University (Garden City, NY) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"American University (Washington, DC) "	"$1,277,083 "	$100 	$250 	"$117,725 "	"$1,055,145 "	$75 	"$151,984 "	"$376,223 "	"$3,030,233 "	"$6,135,834 "	17.40%	17.50%	16.00%	91.00%	52.50%	"82,707"	"14,389"	"$9,238,313 "	--	--	--	--	--	--	"$590,017 "	"$25,231 "	"$413,544 "	"$1,000 "	"$341,594 "	"$40,833 "	"$531,220 "	"$489,679 "	"$12,741,941 "	"$17,609,214 "	"$17,609,214 "	--	--	--
"Andrews University (Berrien Springs, MI) "	"$275,791 "	$0 	$980 	"$24,156 "	"$19,915 "	$791 	"$50,682 "	$0 	"$11,955 "	"$623,763 "	9.90%	--	--	36.70%	6.40%	"32,672"	"3,233"	"$866,956 "	--	--	--	--	--	--	"$325,253 "	"$22,116 "	"$397,268 "	$0 	"$396,518 "	$0 	"$291,534 "	$0 	"$12,952,882 "	"$13,551,377 "	"$13,578,960 "	--	--	--
"Azusa Pacific University (Azusa, CA) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Barry University (Miami Shores, FL) "	"$31,899 "	$0 	$0 	$575 	"$4,636 "	$0 	"$5,764 "	"$5,917 "	"$44,860 "	"$361,404 "	9.20%	8.50%	9.20%	100.00%	11.90%	"28,685"	"2,652"	"$378,948 "	--	--	--	--	--	--	"$477,998 "	"$14,266 "	"$1,472,329 "	$500 	"$295,161 "	"$16,111 "	"$397,560 "	"$96,199 "	"$1,671,584 "	"$3,180,136 "	"$3,180,136 "	--	--	--
"Baylor University (Waco, TX) "	"$563,006 "	"$61,560 "	"$1,259 "	"$30,100 "	"$58,582 "	"$44,800 "	"$1,502,489 "	"$974,690 "	"$612,436 "	"$4,251,469 "	24.50%	33.80%	10.40%	83.20%	42.30%	"122,135"	"29,936"	"$13,337,277 "	"1,267"	"$3,111,684 "	90	"$2,171,836 "	"1,357"	"$5,283,520 "	"$2,874,668 "	"$23,679 "	"$3,541,283 "	"$20,500 "	"$1,739,057 "	"$152,210 "	"$1,452,836 "	"$1,466,520 "	"$13,300,885 "	"$31,541,006 "	"$32,583,954 "	--	--	--
"Biola University (La Mirada, CA) "	"$295,137 "	$0 	$0 	$0 	$0 	$0 	"$48,436 "	"$16,563 "	"$35,845 "	"$705,871 "	3.40%	--	3.40%	94.10%	9.80%	"37,604"	"1,285"	"$1,084,055 "	362	"$29,445 "	0	$0 	362	"$29,445 "	"$707,089 "	"$12,884 "	"$881,778 "	$0 	"$605,694 "	"$10,357 "	"$645,050 "	"$53,260 "	"$4,462,897 "	"$11,045,650 "	"$12,712,543 "	--	--	--
