Private Research/Doctoral / FY2003 																																						
Institution	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Current	  Alumni Participation 	  Undergraduate	  Alumni Donors	  Percentage	  Alumni Giving	  # Alumni of	  # Alumni Donors 	  Alumni: Total	  Athletics/Curr	  Athletics/Curr	  Athletics/Cap	  Athletics/Cap	  Athletics/Total:	  Athletics/Total	  Corporations:	  Expenditures	  Foundations:	  Foundations:	  Foundations:	  Corporations:	  Corporations:	  Total Curr	  Total Current	  Grand Total	  Grand Total	  Parents (incl.	  Parents (incl.	  Parents (incl.
	Ops/Academic	Ops/Fac-Staff	Ops/Research 	Ops/Pub Serv	Ops/Libraries 	Ops/Physical	Ops/Student	Ops/Athletics 	Ops/Other Purposes 	Operations		Alumni Participation 	for Current	of Alumni Solicited 	as a Percentage	Record 		"Giving ($,"	Ops: Donors	Ops: Total	Purp: Donors	Purp (PV):	Donors (#) 	(PV): Total	Total 	Per Student 	Total 	Curr Ops/Athletics 	Current Operations	Curr Ops/Athletics 	Current Operations	Ops/Athletics 	Operations 	(2004 and after) 	(2003 and earlier) 	Grandp) - Curr	Grandp) - Curr	Grandp) - Curr
	Divisions 	Comp 		& Ext 		Plant O&M 	Aid 			Total 			Ops. as % of		of Total Giving 			from Details) 	(#) 	Amount ($) 	(#) 	Total Amount		Amount ($) 					Total 		Total 					Ops Solicited	Ops Donors	Ops ($ Details) 
													# of Record 									($) 														(#) 	(#) 	
"Adelphi University (Garden City, NY) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"American University (Washington, DC) "	"$1,432,987 "	$0 	$0 	"$118,931 "	"$45,309 "	"$4,100 "	"$77,554 "	"$158,939 "	"$36,594 "	"$2,084,210 "	14.80%	15.60%	13.70%	98.00%	24.70%	"81,214"	"11,987"	"$3,118,796 "	--	--	--	--	--	--	"$235,710 "	"$23,863 "	"$711,454 "	"$1,500 "	"$446,254 "	"$26,750 "	"$225,358 "	"$225,111 "	"$8,295,592 "	"$12,617,901 "	"$12,617,901 "	--	--	--
"Andrews University (Berrien Springs, MI) "	"$452,747 "	$0 	$300 	"$41,165 "	"$3,050 "	$10 	"$110,848 "	$0 	$25 	"$1,607,177 "	13.90%	--	--	41.40%	13.10%	"26,565"	"3,697"	"$2,045,160 "	--	--	--	--	--	--	"$596,856 "	"$21,889 "	"$417,290 "	$0 	"$391,790 "	$0 	"$421,358 "	$0 	"$13,865,983 "	"$15,553,778 "	"$15,737,201 "	--	--	--
"Azusa Pacific University (Azusa, CA) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Barry University (Miami Shores, FL) "	"$40,278 "	$0 	$0 	"$1,990 "	"$10,265 "	$0 	$125 	"$1,400 "	"$53,580 "	"$503,182 "	13.60%	15.20%	13.30%	100.00%	9.30%	"25,097"	"3,404"	"$515,495 "	0	$0 	0	$0 	0	$0 	"$784,456 "	"$11,704 "	"$2,029,516 "	$0 	"$705,511 "	"$18,759 "	"$451,438 "	"$21,588 "	"$3,799,541 "	"$5,540,135 "	"$5,540,135 "	--	--	--
"Baylor University (Waco, TX) "	"$455,975 "	"$45,020 "	"$8,708 "	$300 	"$182,946 "	"$1,075 "	"$1,369,541 "	"$1,332,602 "	"$67,815 "	"$6,392,995 "	20.10%	24.60%	5.40%	100.00%	45.40%	"102,012"	"20,478"	"$20,916,834 "	"1,133"	"$3,637,706 "	81	"$340,636 "	"1,214"	"$3,978,342 "	"$3,073,015 "	"$15,725 "	"$7,447,862 "	"$17,600 "	"$1,377,260 "	"$438,281 "	"$1,447,150 "	"$2,223,634 "	"$16,091,061 "	"$46,076,691 "	"$49,680,726 "	--	--	--
"Biola University (La Mirada, CA) "	"$158,430 "	$0 	$0 	$0 	"$8,820 "	$0 	"$46,290 "	$0 	"$68,668 "	"$1,989,620 "	5.20%	--	5.00%	91.00%	22.90%	"27,328"	"1,431"	"$4,571,207 "	--	--	740	"$560,826 "	740	"$560,826 "	"$1,512,075 "	"$12,635 "	"$3,975,688 "	$0 	"$3,318,485 "	$0 	"$832,956 "	$0 	"$12,337,584 "	"$19,993,821 "	"$21,334,094 "	--	--	--
