Private Research/Doctoral / FY2002 																																						
Institution	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Current	  Alumni Participation 	  Undergraduate	  Alumni Donors	  Percentage	  Alumni Giving	  # Alumni of	  # Alumni Donors 	  Alumni: Total	  Athletics/Curr	  Athletics/Curr	  Athletics/Cap	  Athletics/Cap	  Athletics/Total:	  Athletics/Total	  Corporations:	  Expenditures	  Foundations:	  Foundations:	  Foundations:	  Corporations:	  Corporations:	  Total Curr	  Total Current	  Grand Total	  Grand Total	  Parents (incl.	  Parents (incl.	  Parents (incl.
	Ops/Academic	Ops/Fac-Staff	Ops/Research 	Ops/Pub Serv	Ops/Libraries 	Ops/Physical	Ops/Student	Ops/Athletics 	Ops/Other Purposes 	Operations		Alumni Participation 	for Current	of Alumni Solicited 	as a Percentage	Record 		"Giving ($,"	Ops: Donors	Ops: Total	Purp: Donors	Purp (PV):	Donors (#) 	(PV): Total	Total 	Per Student 	Total 	Curr Ops/Athletics 	Current Operations	Curr Ops/Athletics 	Current Operations	Ops/Athletics 	Operations 	(2004 and after) 	(2003 and earlier) 	Grandp) - Curr	Grandp) - Curr	Grandp) - Curr
	Divisions 	Comp 		& Ext 		Plant O&M 	Aid 			Total 			Ops. as % of		of Total Giving 			from Details) 	(#) 	Amount ($) 	(#) 	Total Amount		Amount ($) 					Total 		Total 					Ops Solicited	Ops Donors	Ops ($ Details) 
													# of Record 									($) 														(#) 	(#) 	
"Adelphi University (Garden City, NY) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"American University (Washington, DC) "	"$1,368,199 "	$0 	$0 	"$120,123 "	"$19,317 "	"$436,000 "	"$189,884 "	"$50,340 "	"$22,966 "	"$2,578,582 "	12.70%	13.70%	12.20%	88.60%	--	"79,168"	"10,036"	"$3,384,739 "	--	--	--	--	--	--	"$801,363 "	"$21,654 "	"$813,075 "	$0 	"$556,075 "	"$32,375 "	"$557,637 "	"$90,902 "	"$9,031,265 "	--	"$12,176,264 "	--	--	--
"Andrews University (Berrien Springs, MI) "	"$222,982 "	$0 	$451 	"$33,830 "	"$1,365 "	"$1,000 "	"$150,546 "	$0 	$0 	"$558,621 "	16.80%	--	12.10%	69.10%	--	"21,715"	"3,643"	"$758,867 "	--	--	--	--	--	--	"$1,548,739 "	"$23,030 "	"$498,713 "	$0 	"$498,713 "	$0 	"$515,183 "	$0 	"$2,071,625 "	--	"$3,814,311 "	--	--	--
"Azusa Pacific University (Azusa, CA) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Barry University (Miami Shores, FL) "	"$8,288 "	$0 	$0 	$770 	"$4,803 "	$0 	$0 	"$2,383 "	"$75,807 "	"$233,031 "	12.00%	13.10%	12.00%	100.00%	--	"26,449"	"3,170"	"$233,281 "	0	$0 	0	--	--	--	"$560,269 "	"$11,107 "	"$822,530 "	"$9,450 "	"$797,530 "	"$8,937 "	"$413,019 "	"$26,845 "	"$1,969,492 "	--	"$2,213,703 "	--	--	--
"Baylor University (Waco, TX) "	"$575,648 "	"$64,595 "	"$2,835 "	$350 	"$602,943 "	"$1,000 "	"$1,355,275 "	"$939,484 "	$0 	"$4,171,095 "	20.40%	25.00%	4.60%	100.00%	--	"95,324"	"19,484"	"$17,442,831 "	"1,036"	"$2,920,251 "	51	--	--	--	"$3,970,982 "	"$13,822 "	"$10,236,010 "	"$9,500 "	"$1,510,177 "	"$286,011 "	"$1,847,580 "	"$1,516,141 "	"$13,945,068 "	--	"$41,326,518 "	--	--	--
"Biola University (La Mirada, CA) "	"$216,457 "	$0 	$0 	$0 	"$12,470 "	$0 	"$48,528 "	$0 	"$126,873 "	"$792,954 "	6.50%	--	5.90%	91.00%	--	"26,048"	"1,685"	"$1,089,567 "	468	"$212,116 "	--	--	--	--	"$496,371 "	"$11,602 "	"$1,580,061 "	$0 	"$1,112,555 "	$0 	"$423,270 "	$0 	"$4,376,405 "	--	"$9,808,933 "	--	--	--
