unitid,calsys,crsloc1,crsloc2,crsloc3,crsloc4,crsloc5,crsloc6,facloc1,facloc2,facloc3,facloc4,facloc5,facloc6,facloc7,facloc8,facloc9,facloc10,mili,mil1insl,mil2insl,admreq1,admreq2,admreq3,admreq4,admreq5,admreq6,admreq7,admreq8,admreq9,admreq10,admreq11,admreq12,admreq13,yrscol,mode1,mode2,mode3,mode4,mode5,mode6,mode7,mode8,mode9,mode10,mode11,mode12,mode13,mode14,stusrv1,stusrv2,stusrv3,stusrv4,stusrv5,stusrv6,stusrv7,stusrv8,stusrv9,libfac,libshar1,libshar2,libshar3
"101231","5","1","","","","","","1","","","","","","","","","","2","","","","1","","1","","","1","","","","","","","","","1","","","","","","","","","","","","","","1","1","1","","","","1","","3","","",""
"101240","2","1","","","1","","","1","1","1","1","1","1","1","1","1","1","1","1","","","1","","1","","","1","","1","1","1","","","","1","","1","","1","","","","","","","","","1","1","1","1","1","1","1","1","","","1","","",""
"101268","5","1","","","","","","1","","","","","","","","","","2","","","","1","","1","","","1","","","","","","","","","1","","","","","","","","","","","","","","1","1","1","","","","","","3","","",""
"101277","","1","","","","","","1","","","","","","","","","","2","","","","1","","","","","","","1","1","","","1","","","1","","","","","","","","","","","","","","1","","","","","","","","1","","",""
"101286","2","1","","","1","1","","1","","1","1","1","1","","","","1","1","1","","","1","","","","","","","1","","1","1","","","1","1","","","","","","","","","","","","1","1","1","1","1","1","1","1","","","1","","",""
"101295","2","1","","","1","","","1","","1","","","1","","","","","2","","","","1","","","","","","","1","","1","","","","1","1","","","","","","","","","","","","1","1","1","1","1","","","1","","","1","","",""
"101301","2","1","","","1","","","1","","","","","1","","","","","2","","","","1","","","","","","","1","","1","1","","","","","","","","","1","","","","","","","1","1","1","1","1","1","1","1","","","1","","",""
"101310","6","1","","","","","","1","","","","","","","","","","2","","","","","","","","","","","","","1","1","","","","","","","","","1","","","","","","","","","","","","","","","","1","1","","",""
"101347","2","1","","","1","","","1","","","","","1","","","","","2","","","","1","","","","","","1","1","1","1","1","","","","1","","","","","","","","","","","","","1","1","1","1","1","1","1","","","1","","",""
"101365","2","1","","","","","","1","","","","","","","","","","2","","","","1","","1","","","1","","","","","","","","","","","","","","1","","1","","","","","","","1","1","1","","","","","","1","","",""
"101392","7","1","","","","","","1","","","","","","","","","","2","","","","","","","","","","","","","","1","","","","","","","","","1","","","","","","","","","","","","","","","","1","3","","",""
"101417","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","1","1","","",""
"101435","1","1","","","1","","","1","","","","","1","","","","","2","","","","1","1","1","1","1","","","1","","1","","","","1","1","","","","","","1","1","","","","","","1","1","1","1","","","","","","1","","",""
"101444","2","1","","","","","","1","","","","","","","","","","2","","","","1","","1","1","1","1","","","1","","","1","","","1","","","","","","","","","","","","","","","","","","","","","1","1","","",""
"101453","1","1","","","1","1","","1","","","","","1","","","","1","2","","","","1","","","","","","","1","","","","1","","","1","1","1","","","","","","1","1","","","","","1","1","1","","","1","1","","1","","",""
"101462","2","1","","","1","","","1","","","","","1","","","","","2","","","","1","","1","1","1","1","","1","1","1","1","","","1","1","","","","","","","","","","","","","1","1","1","1","1","1","1","","","1","","",""
"101471","2","1","","","","","","1","1","","","","","","","","","2","","","","","","","","","","","1","","","","","","","1","","","","","","","","","","","","","1","1","","1","","","1","","","1","","",""
"101480","1","1","","","1","","","1","","1","1","","1","","1","1","","1","1","","","1","1","1","1","1","","","","","1","","","","1","1","","","","","","1","","","","","","","1","1","1","1","1","1","1","1","","1","","",""
"101499","2","1","","","1","","","1","1","1","","","1","","","","","2","","","","1","","","","","","","","1","1","1","","","","1","","","","","1","","","","","","","1","1","1","1","1","1","1","1","","","1","","",""
"101505","2","1","","","1","","","1","","1","","1","1","","","","1","2","","","","1","","","","","","","","","1","1","","","1","1","1","","1","","","","","","","","","1","1","1","1","1","1","1","1","","","1","","",""
"101514","2","1","","","1","","","1","1","","1","1","1","","1","","1","1","1","","","1","","","","","","","1","","1","","","","1","1","1","","1","","","","","","","","","1","1","1","1","1","1","1","1","1","","1","","",""
"101523","2","1","","","1","","","1","","","","","1","","","","","2","","","","1","","","","","","","1","1","1","","","","","","","","","","1","","","","","","","1","1","1","1","1","1","1","1","","","1","","",""
"101532","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","",""
"101541","1","1","","","1","","","1","","","","","1","","","","","2","","","","1","","1","1","1","","","","","1","","1","","1","1","","","","","","","","","","","","1","1","1","","1","","","","","","1","","",""
"101569","2","1","","","1","","","1","1","1","","1","1","1","","","1","2","","","","1","","","","","","","1","","1","1","","","1","1","","","","","","","","","","","","","1","1","1","1","","","1","","","1","","",""
"101587","2","1","","","1","","","1","","1","","","1","","1","","","2","","","","1","","1","","1","","","","","1","","","","1","1","","","","","","","","","","","","","1","1","1","1","1","","1","","","1","","",""
"101602","2","1","","","1","","","1","","1","","","1","","1","","","2","","","","1","","","","","","","","","1","1","","","1","","","","","","","","","","","","","1","1","1","1","1","","","1","","","1","","",""
"101648","1","1","","","","","","1","","","","","","","","","","2","","","","1","","1","1","1","1","","1","","1","","","","","","","","","","1","","","","","","","1","1","1","","","","","","","","1","","",""
"101657","5","1","","","","","","1","","","","","","","","","","2","","","","1","","","","","","","1","","","","","","","1","","","","","","","","","","","","","","1","1","1","","","","","","1","","",""
"101675","1","1","","","","","","1","","","","","","","","","","2","","","","1","","1","","1","","","","","","1","","","","1","","","","","","","1","","","","","","1","1","1","1","","","1","","","1","","",""
"101693","1","1","","1","1","","1","1","","","","1","1","","","","1","2","","","","1","1","1","1","1","","","1","","1","","1","","1","1","","","","","","","","","","","","","1","1","1","1","","","1","1","","1","","",""
"101709","1","1","","","1","","","1","","","","1","1","","","","1","2","","","","1","1","1","1","1","","","","","1","","","","1","1","","","","","","1","1","","","","","","","1","1","1","1","1","1","","","1","","",""
"101736","2","1","","","1","","","1","","","","1","1","","","","1","2","","","","1","","1","","","1","","1","1","1","1","","","1","1","","","","","","1","1","","","","","","1","1","1","1","1","1","1","1","","1","","",""
"101879","1","1","1","","1","","","1","","1","","1","1","","","","1","2","","","","1","1","1","1","1","","","","","1","","1","","","1","1","","1","","","","","","","","","1","1","1","1","1","1","","1","1","","1","","",""
"101897","2","1","","","1","","","1","","","","","1","","","","","2","","","","1","","","","","","","","","1","","","","","1","","","","","","","","","","","","","1","1","1","1","1","1","1","","","1","","",""
"101912","1","1","","","","","","1","","","","","","","","","","2","","","","1","","","1","1","","","","","1","","","","1","1","","","","","","","","","","","","","1","1","1","1","","","1","","","1","","",""
"101949","2","1","","","1","","","1","","1","1","","1","","1","1","","2","","","","1","","","","","","","1","","","","","","","","","","","","1","","","","","","","1","1","1","1","1","1","1","1","","","1","","",""
"101958","2","1","","","","","","1","","","","","","","","","","2","","","","1","","","","","","","","","","","1","","","1","","","","","","","","","","","","","","","1","1","","","1","","","1","","",""
"101985","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","",""
"101994","2","1","","","1","","","1","","","","1","1","","","","1","2","","","","1","","","","","","","1","1","","","","","","","","","","","1","","","","","","","1","1","1","","1","","","1","","","3","","",""
"102030","2","1","","","1","","","1","","1","1","1","1","","","","","1","1","","","1","","","","","","","","","","1","","","1","1","","","","","","1","1","","","","","","1","1","1","1","1","1","1","1","","1","","",""
"102049","4","1","","1","1","","","1","","","","1","1","","","","1","2","","","","1","","1","1","1","","","1","","1","","1","","1","1","","","","","","1","1","","","","","","1","1","1","1","1","1","1","","","1","","",""
"102058","1","1","","","","","","1","","","","","","","","","","2","","","","1","","","","","","","","","1","1","","","","1","","","","","","","","","","","","","1","1","","","","","","","","1","","",""
"102067","1","1","","","1","","","1","","","1","","1","","","","","2","","","","1","","","","","","","1","","","","","","","","","","","","1","","","","","","","1","1","1","","1","1","1","1","1","","1","","",""
"102076","2","1","","","1","","","1","","1","","","1","","1","","1","2","","","","1","","","","","","","1","","","1","","","1","1","1","","1","","","","","","","","","1","1","1","1","1","","","1","","","1","","",""
"102094","2","1","","1","1","","","1","","1","","1","1","","1","1","","2","","","","1","","1","","1","","","1","","1","","","","1","1","","","","","","","","","","","","1","1","1","1","1","1","1","1","","","1","","",""
"102100","2","1","","","1","","","1","","1","","","1","","1","","","2","","","","1","","1","","1","","","1","1","1","","","","","","","","","","1","","","","","","","1","","1","","","1","1","1","","","1","","",""
"102216","2","1","","","","","","1","","","","","","","","","","2","","","","1","","1","","","1","","1","","","","","","","1","","","","","","","","","","","","1","1","1","1","1","","","1","","","2","","102377",""
"102234","1","1","1","","1","","","1","","","","","1","","","","","2","","","","1","1","1","1","1","","","1","","1","","1","","1","1","","","","","","1","1","","","","","","1","1","1","1","1","1","1","","","1","","",""
"102261","1","1","","","1","","","1","","","","","1","","","","","2","","","","1","1","1","1","1","","","1","","1","","","","","","1","1","","","","","","","","","","1","1","1","1","1","","","1","","","1","","",""
"102270","1","1","","","","","","1","","","","","","","","","","2","","","","1","","1","1","1","","","","","1","","","","","","","","","","1","","","","","","","1","1","1","1","1","1","","","","","1","","",""
"102298","1","1","","","1","","","1","","","","","1","","","","","2","","","","1","1","1","1","1","","","1","","1","","","","1","1","","","","","","","","","","","","1","1","1","1","1","","1","1","","","1","","",""
"102313","2","1","","","1","","","1","","","","","1","","","","","1","1","","","1","","1","","","1","","1","1","1","","","","1","1","","","","","","","","","","","","1","1","1","1","1","","","1","1","","1","","",""
"102322","2","1","","","1","","","1","","","1","1","1","","","1","1","1","1","","","1","","1","","","","","","","1","","","","","1","","","1","","","","","","","","","1","1","1","1","1","1","1","1","","","1","","",""
"102331","2","1","1","1","","","","1","","","1","","","","","","","1","1","","","1","","1","","","1","","","","1","","","","","","","","","","1","","","","","","","1","","1","1","1","1","","1","","","1","","",""
"102359","2","1","","","1","","","1","","1","1","","1","","","1","1","1","1","","","1","","","","","","","1","","1","1","","","","1","1","1","1","","","1","1","","","","","1","1","1","1","1","1","1","1","","","1","","",""
"102368","2","1","1","1","1","1","","1","","","1","","1","","","1","","1","1","1","","1","","1","1","1","","","","","1","","","","1","1","","","","","","","1","","","","","","1","1","1","1","","","1","1","","1","","",""
"102377","1","1","","","1","","","1","","","","","1","","","","","2","","","","1","","1","1","1","","","","","1","","","","1","1","","","","","","","","","","","","1","1","1","1","1","","","1","1","","1","","",""
"102395","2","1","1","1","1","1","1","1","","","","1","","","","","1","2","","","1","","","","","","","","","","","","","4","1","1","1","1","","","","","","1","1","","","","","1","1","","1","1","1","","","1","","",""
"102410","2","1","","","1","","","1","","","","1","1","","","","1","2","","","","1","","1","","1","","","","","1","1","","","","","","","","","1","","","","","","","1","1","1","1","","","","1","1","","1","","",""
"102429","2","1","","","1","","","1","","","","1","1","","","","1","2","","","","1","","1","","","","","1","1","","1","","","1","1","1","","1","","","","","","","","","1","1","1","1","1","1","1","1","1","","1","","",""
"102438","","1","","","","","","","","","","1","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","3","","",""
"102508","","1","","","","","","1","","","","","","","","","","","","","","1","1","","","","","","1","1","1","","","","","","","","","","1","","","","","","","","","","","","","","","","1","1","","",""
"102526","1","1","","","","","","1","","","","","","","","","","2","","","","1","","","","","","","","","","","","","","1","","","","","","","","","","","","","","1","","1","","1","1","","","3","","",""
"102553","1","1","","","1","","","1","1","1","1","1","1","1","1","1","","1","1","","","1","1","1","1","1","","","1","1","1","","","","1","1","1","","1","","","","","1","","1","","","1","1","1","1","1","1","1","1","","1","","",""
"102562","3","1","","","","","","1","","","","","","","","","","2","","","","1","","","","","","","1","1","","","","","1","1","","","","","","","","","","","","","1","1","1","1","","","","1","","1","","",""
"102580","1","1","","","","","","1","","","","1","","","","","","2","","","","1","","","","","","","1","","1","","1","","","","","","","","1","","","","","","","","1","1","","","","","","","","1","","",""
"102614","1","1","","","1","","","1","1","1","1","","1","","1","1","","2","","","","1","1","1","1","1","1","","1","1","1","","","","","","1","1","1","","","","","","","","","1","1","1","1","1","1","1","1","1","","1","","",""
"102623","6","1","","","","","","1","","","","","","","","","","2","","","","","","","","","","","","1","","","","","","","","","","","1","","","","","","","","","","","","","","","","1","3","","",""
"102632","1","1","1","","1","","","1","","1","1","1","1","","1","1","1","1","1","","","1","","1","1","1","","","","1","1","1","","","1","1","","","","","","","","","","","","1","1","1","","","","","1","1","","1","","",""
"102669","1","1","","","1","","","1","","","","1","1","","","","1","2","","","","1","1","1","1","1","1","","","","1","","","","1","1","","","","","","","","","","","","","1","1","1","","1","1","1","","","2","102553","",""
"102711","5","1","","","1","","","1","1","1","1","","1","","","","","2","","","","1","","","","","","","1","1","","","","","1","1","1","1","","","","1","1","1","1","","","","1","1","1","1","","1","1","","","1","","",""
"102818","6","1","","","","","","1","","","","","","","","","","2","","","","1","","","","","","","1","","","","","","","1","","","","","","","","","","","","","","1","1","1","","","1","","","","","",""
"102845","2","1","","","","","","1","","","","","","","","","","2","","","","1","","","","","","","1","1","","","","","1","1","","","","","","","","","","","","","","1","1","1","","","1","","","1","","",""
"102872","5","1","","","","","","1","","","","1","","","","","","2","","","","1","","","","","","","","1","","1","","","","","","","","","1","","","","","","","","","","","","","","","","1","3","","",""
"102906","1","1","1","1","","","","1","","","","","","","","","","2","","","","1","","1","1","1","","","1","1","","","1","","","","1","1","","","","","","","","","","","1","1","","","","","","","","1","","",""
"102915","5","1","","","","","","","","","1","","","","","","","1","1","","","","","","","","","","","","","","1","","","","","","","","1","","","","","","","","","","","","","","","","1","3","","",""
"102960","1","1","","","","","","1","","","","","","","","","","2","","","","1","","","","","","","","","","","","1","","","","","","","1","","","","","","","","","1","","","","","1","","","1","","",""
"103024","6","1","","","","","","1","","","","","","","","","","2","","","","1","","","","","","","","","","","","","","1","","","","","","","","","","","","","","1","1","1","","","","","","1","","",""
"103194","5","1","","","","","","1","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","1","1","1","1","","","","","","3","","",""
"103246","7","1","","","","","","1","","","","","","","","","","2","","","","1","","","","","","","1","1","","","1","","","1","","","","","","","","","","","","","","","","1","","","1","","","1","","",""
"103255","1","1","","","","","","1","","","","","","","","","","2","","","","","","","","","","","1","1","","","1","","","1","","","","","","","","","","","","","1","1","1","1","","","1","","","3","","",""
"103352","7","1","","","","","","1","","","","","","","","","","2","","","","","","1","","","1","","1","","","1","","","1","1","","","","","","","","","","","","","1","1","1","1","","","","","","1","","",""
"103361","1","1","","","1","","","1","","1","","","1","","1","","1","2","","","","1","1","","","","","","","1","1","1","","","1","1","","","","","","","","","","","","1","1","1","1","1","","","1","","","3","","",""
"103440","4","1","","","1","","","1","","","1","","1","","","","","2","","","","1","","","","","","","","","1","","","","1","1","","","","","","","","","","","","","1","1","1","","1","","1","1","","1","","",""
"103468","1","1","","","","","","1","","","","","","","","","","2","","","","1","","","","","","1","1","","","","","","","","1","1","","","","","","","","","","","","","","1","","","","","","1","","",""
"103495","5","1","","","","","","1","","","","","","","","","","2","","","","1","","","","","","","1","","","","1","","","","","","","","1","","","","","","","","","1","","","","","","","","3","","",""
"103501","5","1","","","","","","1","","","","","","","","","","2","","","","1","","","","","","","","1","","","1","","","1","","","","","","","","","","","","","","1","1","1","1","1","1","","","1","","",""
"103510","6","1","","","","","","1","","","","","","","","","","2","","","","","","","","","","","1","1","","1","","","","1","","","","","","","","","","","","","","1","","1","","","","","","2","","",""
"103529","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"103583","5","1","","","","","","1","","","","","","","","","","2","","","","","","","","","","","","","","","1","","","","","","","","1","","","","","","","","","","","","","","","","1","3","","",""
"103644","6","1","","","","","","1","","","","","","","","","","2","","","","1","","1","","","1","","1","","1","","1","","1","1","","","","","","","","","","","","","1","1","1","1","","","1","","","1","","",""
"103723","6","1","","","1","","","1","","","","","1","","","","","2","","","","1","","1","","","1","","1","","1","","","","1","1","","","","","","1","","","","","","","1","1","1","1","","","","","","1","","",""
"103732","5","1","","","","","","1","","","","","","","","","","2","","","","1","","","","","","","1","","","","","","","","","","","","1","","","","","","","","","1","1","1","1","1","1","","","1","","",""
"103741","6","1","","","","","","1","","","","","","","","","","2","","","","1","","","","","","","","","","","","","","","","","","","1","","","","","","","","","1","1","1","1","1","1","","","1","","",""
"103778","3","1","1","1","","","","1","","","","1","","","","","","2","","","1","","","","","","","","","","","","","4","1","1","","","","","","","","","","","","1","","1","1","1","","","1","","","1","","",""
"103787","1","1","","","1","","","1","","","","","1","","","","","2","","","","1","","1","1","1","","","","","","","1","","","1","","","","","","","","","","","","1","1","1","1","1","","","1","","","1","","",""
"103811","6","1","","","","","","1","","","","","","","","","","2","","","","1","","","","","","","1","1","","","1","","1","","","","","","","","","","","","","","","","1","1","","","","","","3","","",""
"103820","1","1","","","1","","","1","","","","","1","","","","","2","","","","1","","1","","","1","","","","","","","","","1","","","","","","","1","","","","","","","1","","1","","","","","","1","","",""
"103893","6","1","","","","","","1","","","","","","","","","","2","","","","1","","","","","","","1","","","","","","","1","","","","","","","","","","","","","1","1","1","1","","","1","","","1","","",""
"103909","6","1","","","","","","1","","","","","","","","","","2","","","","1","","","","","","","1","","","","","","","1","","","","","","","","","","","","","1","1","1","1","","","1","","","1","","",""
"103927","6","1","","","","","","1","","","","","","","","","","2","","","","1","","","","","","","1","","","","","","","1","","","","","","","","","","","","","1","1","1","1","","","","","","1","","",""
"103945","5","1","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"103954","6","1","","","","","","1","","","","","","","","","","2","","","","1","","","","","","","1","","","","","","","1","","","","","","","","","","","","","","1","1","1","","","","","","1","","",""
"103963","2","1","","","","","","1","","","","1","","","","","","2","","","","1","","","","","","","1","","","","","","","1","","","","","","","","","","","","","","1","1","1","","","1","","","1","","",""
"103972","2","1","","","","","","1","","","","","","","","","","2","","","","1","","1","","","","","1","1","","","","","","","","","","","1","","","","","","","","","1","","1","","","","","","1","","",""
"104018","1","1","","","","","","1","","","","1","","","","","","2","","","","1","","1","1","1","","","1","","1","","1","","","","","","","","1","","","","","","","1","","1","","","","","1","","","1","","",""
"104072","6","1","","","","","","","","1","","1","","","","","","2","","","","","","","","","","","","1","","","","","","","","","","","1","","","","","","","","1","1","","1","","","1","","","3","","",""
"104090","6","1","","","","","","1","","","","","","","","","","2","","","","1","","1","","","1","","1","1","","","","","","1","","","","","","","","","","","","","1","1","1","1","","","1","","","1","","",""
"104151","1","1","1","1","1","","","1","","1","1","1","1","","","","","2","","","","1","1","1","1","1","1","","","","1","","1","","1","1","1","1","1","","","","","","","","","1","1","1","1","1","1","1","1","1","","1","","",""
"104160","1","1","","","1","","","1","1","1","1","1","1","1","1","1","1","1","1","","","1","","1","","","1","","","1","1","1","1","","1","1","","","","","","","1","","","","","1","1","1","1","1","1","1","1","1","","1","","",""
"104179","1","1","1","1","1","1","","1","1","","1","","1","1","","1","","1","1","","","1","1","1","1","1","","","1","","1","","","","1","","1","1","1","","","","","1","1","1","","","1","1","1","1","1","1","1","","","1","","",""
"104188","5","1","","","1","","","1","","","","","","","","","","2","","","","1","","1","","","1","","1","1","","","1","","","1","","","","","","","","","","","","1","","1","1","1","","","1","","","1","","",""
"104230","6","1","","","","","","1","","","","","","","","","","2","","","","1","","","","","","","1","1","","","","","","1","","","","","","","","","","","","","","1","","","","","","","","1","","",""
"104249","5","1","1","","","","","","","","","1","","","","","","2","","","","","","","","","1","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","1","1","","",""
"104267","5","1","","","","","","1","","","","","","","","","","2","","","","","","","","","","","","1","","1","","","","","","","","","1","","","","","","","","","","","1","","","","","","1","","",""
"104276","5","1","","","","","","","","","","1","","","","","","2","","","","","","","","","","","","1","","","","","","","","","","","1","","","","","","","","","","1","1","1","1","1","","","3","","",""
"104294","6","1","","","","","","1","","","","","","","","","","2","","","","1","","","","","","","","","","","","","","","","","","","1","","","","","","","","","1","1","1","","","1","","","1","","",""
"104346","1","1","","","","","","1","1","1","","1","1","","","","","2","","","","1","","","","","","","","","","","","","","1","","","","","","","1","","","","","","1","1","1","1","1","1","1","1","","1","","",""
"104355","6","1","","","","","","1","","","","","","","","","","2","","","","","","","","","","","","","","","1","","","","","","","","1","","","","","","","","","","","","","","","","1","3","","",""
"104364","2","1","","","","","","1","","","","","","","","","","2","","","","1","","1","","","1","","1","","","","1","","","","","","","","1","","","","","","","","1","1","1","1","","","1","","","1","","",""
"104382","1","1","1","1","","","","1","","1","","1","","","","","","2","","","","1","","","","","1","","1","","1","","1","","1","1","1","1","","","","","","","","","","","1","1","1","1","","","1","","","1","","",""
"104391","7","1","","","","","","1","","","","","","","","","","2","","","","1","","","","","","","","","","","","","","1","","","","","","","","","","","","","","1","","1","","","","","","1","","",""
"104425","1","1","1","","1","","","1","1","1","1","","1","","1","","","1","1","","","1","","","","","","","1","1","1","1","","","1","1","","","","","","","","","","","","1","1","1","1","1","","","1","","","1","","",""
"104434","6","1","","","","","","1","","","","","","","","","","2","","","","1","","","","","","","1","1","","","","","","1","","","","","","","","","","","","","","1","1","1","","","","","","1","","",""
"104443","6","1","","","","","","1","","","","","","","","","","2","","","","1","","","","","","","1","1","","","","","","1","","","","","","","","","","","","","","1","","1","","","","","","1","","",""
